Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
Sample Size:,1,2,0,2,2,2,5,1,5,4,6,0,6,8,5,3,10,12,3,6,4,0,1,5,2,7,0,0,2,5,3,3,0,4,2,1,4,4,2,2,1,1,3,0,3,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashy-headed Goose (<em class=""sci"">Chloephaga poliocephala</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5
"Chiloe Wigeon (<em class=""sci"">Mareca sibilatrix</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0.3333333,0,0,0,0,0
"Mallard (<em class=""sci"">Anas platyrhynchos</em>)",0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yellow-billed Pintail (<em class=""sci"">Anas georgica</em>)",0,0,0,0.5,1,0,0,0,0,0,0.1666667,0,0,0.125,0,0.3333333,0,0.1666667,0,0.1666667,0.25,0,1,0,0.5,0.4285714,0,0,0,0.2,0.6666667,0,0,0.25,0,0,0.75,0.5,0,0,0,0,0,0,0,0,0,0
"Yellow-billed Teal (<em class=""sci"">Anas flavirostris</em>)",0,0,0,0,0.5,0.0015,0.2,0,0.4,0.25,0.1666667,0,0.1666667,0.25,0.4,0.3333333,0.2,0.3333333,0.3333333,0.3333333,0.75,0,0,0,0.5,0,0,0,0,0.4,0.6666667,0.3333333,0,0.75,0.5,0,1,0.25,0.5,0.5,0,0,0.3333333,0,0.6666667,0,0,0
"California Quail (<em class=""sci"">Callipepla californica</em>)",1,0,0,0.5,0.5,0,0,0,0,0,0.3333333,0,0,0.375,0,0,0.1,0.1666667,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.0015,0.3333333,0,0.3333333,0,0,0
"Rock Pigeon (<em class=""sci"">Columba livia</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picazuro Pigeon (<em class=""sci"">Patagioenas picazuro</em>)",0,1,0,1,1,0.5,0.2,0,0.2,0.75,0.6666667,0,0.5,0.5,0.4,0.3333333,0.3,0.5,0.3333333,0.8333333,1,0,1,0.4,0.5,0.2857143,0,0,0.5,0.6,0.6666667,0.3333333,0,0.75,0.5,0,0.5,1,0,0.5,1,1,0.6666667,0,0.3333333,0.3333333,0,0
