Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Chilean Pigeon (<em class=""sci"">Patagioenas araucana</em>)",0,0,0,0,0.5,0,0,0,0.2,0,0,0,0.3333333,0.5,0.4,0,0,0.1666667,0,0,0,0,0,0,0.5,0.1428571,0,0,0.5,0.4,0,1,0,1,0,0,0,0.25,0.5,0.5,0,0,0,0,0,0.3333333,0,0
"Picui Ground Dove (<em class=""sci"">Columbina picui</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eared Dove (<em class=""sci"">Zenaida auriculata</em>)",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0.3333333,0,0,0.3333333,0.5,0
"Green-backed Firecrown (<em class=""sci"">Sephanoides sephaniodes</em>)",0,0,0,0,0,0,0,0,0.2,0.25,0.1666667,0.0015,0.6666667,0.5,0.8,0.6666667,0.2,0.3333333,0,0.3333333,0.5,0,0,0,0,0,0,0,0,0.2,0,0.3333333,0,0.5,0,0,0.25,0.75,0.5,0.5,0,0,0.3333333,0,0,0,0,0
"Red-gartered Coot (<em class=""sci"">Fulica armillata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0.25,0,0,0,0,0.2857143,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0
"White-winged Coot (<em class=""sci"">Fulica leucoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"Southern Lapwing (<em class=""sci"">Vanellus chilensis</em>)",1,1,0,1,1,1,1,1,1,0.75,0.8333333,0,1,0.75,1,0,0.2,0.0833333,0,0,0,0,0,0,0,0,0,0,0.5,0.8,1,1,0,1,1,1,0.5,1,0.5,1,1,1,0.6666667,0,0.6666667,0.6666667,0.5,0.5
"Magellanic Snipe (<em class=""sci"">Gallinago magellanica</em>)",0,0,0,0,0,0,0,0,0,0.25,0,0.0015,0,0,0.0015,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelp Gull (<em class=""sci"">Larus dominicanus</em>)",1,1,0,1,1,0.5,0.8,1,0.8,0.25,0.5,0,0.3333333,0.25,0.8,0.6666667,0.5,0.75,0.6666667,0.8333333,0.75,0,0,0.8,0.5,1,0,0,0.5,0.8,0.6666667,1,0,1,1,1,1,0.75,0.5,0.5,1,1,1,0,0.3333333,0.3333333,0.5,0
"Neotropic Cormorant (<em class=""sci"">Nannopterum brasilianum</em>)",1,0,0,0,0,0,0,0,0,0.25,0.3333333,0,0,0.125,0,0.3333333,0.1,0.1666667,0,0.1666667,0.75,0,0,0,0.5,0.2857143,0,0,0.5,0.4,0.3333333,0.3333333,0,0.25,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0.5,0.5
"Black-crowned Night Heron (<em class=""sci"">Nycticorax nycticorax</em>)",0,0,0,0,0.0015,0,0.2,0,0,0,0,0,0,0.25,0,0,0.1,0.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0
"Great Egret (<em class=""sci"">Ardea alba</em>)",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-faced Ibis (<em class=""sci"">Theristicus melanopis</em>)",1,1,0,0.5,1,1,0.8,1,1,0.75,0.6666667,0.0015,0.8333333,0.875,0.8,0.3333333,0.5,0.3333333,0.3333333,0.1666667,0,0,0,0.2,0.5,0,0,0,0.5,1,0.6666667,0.6666667,0,1,1,1,0.75,1,0.5,1,1,1,0.6666667,0,0.6666667,0.6666667,1,0.5
"Andean Condor (<em class=""sci"">Vultur gryphus</em>)",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.125,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",0,0,0,0,0,0,0,0.0015,0.2,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0.5,0.1428571,0,0,0,0.4,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0.3333333,0,0,0,0,0
"Chilean Hawk (<em class=""sci"">Accipiter chilensis</em>)",0,0,0,0,0,0,0,0.0015,0,0.25,0.3333333,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0.3333333,0,0,0,0,1,0,0.25,0,0.5,0,0,0.3333333,0,0.3333333,0,0,0
"Harris's Hawk (<em class=""sci"">Parabuteo unicinctus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-chested Buzzard-Eagle (<em class=""sci"">Geranoaetus melanoleucus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous-tailed Hawk (<em class=""sci"">Buteo ventralis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austral Pygmy-Owl (<em class=""sci"">Glaucidium nana</em>)",0,0,0,0,0,0,0,0,0,0,0.1666667,0.0015,0,0,0,0.3333333,0.1,0.0833333,0.3333333,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ringed Kingfisher (<em class=""sci"">Megaceryle torquata</em>)",1,0.5,0,0.5,0.5,0.5,0.6,0,0.2,0.5,0.3333333,0.0015,0,0.375,0.8,0.3333333,0.5,0.4166667,0.3333333,0.1666667,0.75,0,1,0.2,1,0,0,0,0.5,0.2,0.6666667,0.3333333,0,0.5,0.5,0,0.5,0.25,0,1,0,0,0,0,0.3333333,0,0,1
"Striped Woodpecker (<em class=""sci"">Dryobates lignarius</em>)",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magellanic Woodpecker (<em class=""sci"">Campephilus magellanicus</em>)",0,0.5,0,0,0.5,0.5,0,0,0,0.25,0.3333333,0,0,0,0.6,0.3333333,0.1,0.1666667,0,0.1666667,0,0,0,0,0,0,0,0,0,0.4,0.6666667,0.3333333,0,0.25,0,0,0,0.5,0,0,0,0,0.3333333,0,0,0,0,0.5
"Chilean Flicker (<em class=""sci"">Colaptes pitius</em>)",0,0.5,0,0,0,0,0,0,0,0,0.1666667,0,0.1666667,0.25,0,0,0.3,0.25,0,0.5,0.25,0,0,0,0,0.4285714,0,0,1,0.4,0.6666667,0.6666667,0,0.5,0,1,0.25,0.5,0,0.5,0,0,0.3333333,0,0.3333333,0,0,0
"Crested Caracara (<em class=""sci"">Caracara plancus</em>)",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.3333333,0,0.1666667,0.5,0,0,0,0,0,0,0,0,0,0.3333333,0.3333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chimango Caracara (<em class=""sci"">Daptrius chimango</em>)",1,1,0,1,1,0.5,0.8,1,0.6,1,0.5,0,0.8333333,0.875,0.8,1,0.8,0.9166667,1,1,1,0,1,0.6,0.5,1,0,0.0015,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.6666667,0.6666667,1,0.5
"Aplomado Falcon (<em class=""sci"">Falco femoralis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austral Parakeet (<em class=""sci"">Enicognathus ferrugineus</em>)",1,1,0,0,0.5,0.5,0,1,0.2,0.5,0.6666667,0,0.8333333,0.75,1,0.6666667,0.9,0.75,1,0.6666667,0.75,0.0015,0.0015,0.6,0.5,0.7142857,0,0,1,0.6,0.6666667,1,0,0.75,0.5,1,0,0.75,0.5,0,0,1,0.3333333,0,0.3333333,0.3333333,0.5,0.5
"Black-throated Huet-huet (<em class=""sci"">Pteroptochos tarnii</em>)",0,0,0,0,0,0,0.2,1,0,0,0,0,0,0.25,0.4,0,0,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.3333333,0,0,0
"Chucao Tapaculo (<em class=""sci"">Scelorchilus rubecula</em>)",0,0.5,0,0.5,0.5,0.5,0,0,0.6,0,0.6666667,0,0.8333333,0.75,0.8,1,0.3,0.5833333,0.6666667,0.5,0.75,0,1,0.2,0,0.4285714,0,0,0,0.8,0.3333333,1,0,0.75,0.5,0,0.5,0.5,0,0,0,0,0.6666667,0,0,0,0,0.5
"Ochre-flanked Tapaculo (<em class=""sci"">Eugralla paradoxa</em>)",0,0,0,0,0,0,0,0,0.2,0,0.1666667,0,0,0.125,0,0,0,0.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.3333333,0,0,0
"Magellanic Tapaculo (<em class=""sci"">Scytalopus magellanicus</em>)",0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.125,0,0,0.2,0.0833333,0,0.1666667,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-throated Treerunner (<em class=""sci"">Pygarrhichas albogularis</em>)",0,0,0,0.5,0,0,0.2,1,0.4,0,0.3333333,0.0015,0.5,0.375,0,0.6666667,0.1,0.5833333,0.6666667,0.5,0,0,0.0015,0,0,0,0,0,0.5,0,0,0.6666667,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
"Patagonian Forest Earthcreeper (<em class=""sci"">Upucerthia saturatior</em>)",0,0,0,0,0,0,0.2,0,0.2,0,0.1666667,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scale-throated Earthcreeper (<em class=""sci"">Upucerthia dumetaria</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Buff-winged Cinclodes (<em class=""sci"">Cinclodes fuscus</em>)",0,0,0,0,0,0,0.4,1,0.2,0,0.1666667,0,0.1666667,0.125,0.2,0,0.1,0.0833333,0.6666667,0.1666667,0.25,0,0.0015,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0
"Gray-flanked Cinclodes (<em class=""sci"">Cinclodes oustaleti</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
"Dark-bellied Cinclodes (<em class=""sci"">Cinclodes patagonicus</em>)",1,0.5,0,0.5,0,0,0.2,1,0.4,0.5,0.3333333,0.0015,0.6666667,0.5,0.8,0.3333333,0.3,0.5,0.3333333,0.3333333,0.75,0,1,0.8,0,0.4285714,0,0,0,0.2,0.3333333,0,0,0.5,1,0,0.25,1,0,0,0,1,0.3333333,0,0.3333333,0.3333333,0,0.5
"Thorn-tailed Rayadito (<em class=""sci"">Aphrastura spinicauda</em>)",0,0.5,0,0.5,0.5,0,0.4,1,0.4,0,0.5,0.0015,0.6666667,0.75,1,1,0.7,0.6666667,1,0.5,0.75,0,0,0.4,0,0.4285714,0,0,1,0.6,0,0.6666667,0,0.5,0.5,0,0.5,0.5,1,0,0,0,0.6666667,0,0.3333333,0,0,0
"Des Murs's Wiretail (<em class=""sci"">Sylviorthorhynchus desmursii</em>)",0,0,0,0.5,0,0,0,0,0.0015,0,0.3333333,0,0,0.25,0,0,0,0.3333333,0.3333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0
"Plain-mantled Tit-Spinetail (<em class=""sci"">Leptasthenura aegithaloides</em>)",0,0,0,0.5,0.5,0,0,0,0.2,0.25,0,0.0015,0.3333333,0.125,0.2,0.3333333,0.1,0.25,0.3333333,0.1666667,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.25,0,0.5,1,0,0.3333333,0,0,0,0,0
"Sharp-billed Canastero (<em class=""sci"">Asthenes pyrrholeuca</em>)",0,0,0,0,0.5,0.5,0.2,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.6666667,0,0,0,0,0
"Rufous-tailed Plantcutter (<em class=""sci"">Phytotoma rara</em>)",0,0,0,0,0.5,0.5,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.5,0.5,0,0,0,0,0,0,0.3333333,0.3333333,0.5,0
"Many-colored Rush Tyrant (<em class=""sci"">Tachuris rubrigastra</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"Tufted Tit-Tyrant (<em class=""sci"">Anairetes parulus</em>)",0,0.5,0,0.5,0,0.5,0.2,0,0.6,0.25,0.3333333,0.0015,0.6666667,0.5,0.8,0.3333333,0.5,0.5,0.6666667,0.3333333,0.5,0,0,0.4,1,0.4285714,0,0,0.5,0.6,0.3333333,1,0,0.75,0.5,0,1,0.5,1,0.5,0,0,0.6666667,0,0,0,0.5,0.5
"White-crested Elaenia (<em class=""sci"">Elaenia albiceps</em>)",0,0.5,0,1,1,0.5,0.6,1,0.6,0.5,0.6666667,0.0015,0.1666667,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,0.6666667,0,1,0.6666667,0.5,1
"Dark-faced Ground-Tyrant (<em class=""sci"">Muscisaxicola maclovianus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1666667,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0.3333333,0,0
"Fire-eyed Diucon (<em class=""sci"">Pyrope pyrope</em>)",0,0.5,0,0,0,0,0,0,0.2,0,0.1666667,0,0.6666667,0.5,1,0.6666667,0.4,0.4166667,0.6666667,0.8333333,0.75,0,0,0.4,0.5,0.2857143,0,0,0.5,0.2,0.6666667,0.3333333,0,0.75,0.5,0,0.75,0.5,0,0.5,0,0,0.3333333,0,0.3333333,0.3333333,0.5,0
"Patagonian Tyrant (<em class=""sci"">Colorhamphus parvirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.25,0.8,0.3333333,0.2,0.4166667,0.3333333,0.5,0.5,0,0,0,0,0.1428571,0,0,0,0.2,0,0,0,0.25,0,0.0015,0.5,0.25,0,0,0,0,0,0,0.3333333,0,0,0
"Chilean Swallow (<em class=""sci"">Tachycineta leucopyga</em>)",0,0.5,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0.6666667,0,0,0.6666667,0,0
"Blue-and-white Swallow (<em class=""sci"">Pygochelidon cyanoleuca</em>)",0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0
"swallow sp. (<em class=""sci"">Hirundinidae sp.</em>)",0,0,0,0,0,0,0,0,0,0.25,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"House Wren (<em class=""sci"">Troglodytes aedon</em>)",0,0.5,0,1,0.5,0.5,0.8,0,0.4,0.75,0.6666667,0.0015,0.8333333,0.625,0.6,0.3333333,0.2,0.4166667,0.3333333,0.3333333,0.5,0,0,0.2,0,0.2857143,0,0,0,0,0,0,0,0,0,1,0.5,0.75,1,0.5,1,1,0.6666667,0,0.6666667,0.3333333,0.5,0.5
"Grass Wren (<em class=""sci"">Cistothorus platensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austral Thrush (<em class=""sci"">Turdus falcklandii</em>)",1,1,0,1,1,0.5,1,0,0.4,0.5,0.5,0.0015,0.5,0.75,0.8,0.6666667,0.5,0.75,1,0.8333333,1,0,1,1,1,1,0,0.0015,1,1,1,1,0,1,1,1,1,1,1,0.5,1,1,0.3333333,0,1,1,1,0
"House Sparrow (<em class=""sci"">Passer domesticus</em>)",0,0.5,0,1,0.5,0.5,0.4,1,0.2,0.25,0.5,0.0015,0.5,1,1,0.3333333,0.2,0.25,0.6666667,0.1666667,0.5,0,0,0.2,0.5,0,0,0,0.5,0.4,0,0.3333333,0,1,0.5,1,0.5,0.75,1,1,1,1,0.3333333,0,0,1,0.5,0.0015
"Correndera Pipit (<em class=""sci"">Anthus correndera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Black-chinned Siskin (<em class=""sci"">Spinus barbatus</em>)",0,0.5,0,0.5,0.5,0.5,0.4,0,0.6,0.75,0.8333333,0.0015,0.5,0.5,0.4,0.3333333,0.5,0.5833333,0.6666667,0.6666667,0.75,0,1,0.4,0,0.2857143,0,0,0.5,0.8,0.3333333,1,0,1,0.5,1,0.75,0.5,1,0.5,1,1,0.6666667,0,0.6666667,0.3333333,0.5,0.5
"Rufous-collared Sparrow (<em class=""sci"">Zonotrichia capensis</em>)",0,0.5,0,1,0.5,0,0.8,1,0.4,0.25,0.5,0.0015,0.6666667,0.875,0.8,0.3333333,0.6,0.5,0.6666667,0.6666667,0.75,0,1,0.4,1,0.5714286,0,0,0.5,0.2,1,0.3333333,0,0.75,1,1,0.75,0.5,1,0.5,0,1,0.6666667,0,0,0.6666667,0.5,1
"Shiny Cowbird (<em class=""sci"">Molothrus bonariensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.5
"Austral Blackbird (<em class=""sci"">Curaeus curaeus</em>)",0,0,0,0,0.5,0,0,0,0.4,0,0.3333333,0,0.6666667,0.5,0.6,0.3333333,0.2,0.0833333,0.3333333,0.1666667,0.25,0,0,0,0.5,0,0,0,0.5,0,0,0.6666667,0,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0,0.3333333,0,0.3333333,0.3333333,0,0
"Grayish Baywing (<em class=""sci"">Agelaioides badius</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gray-hooded Sierra Finch (<em class=""sci"">Phrygilus gayi</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"Patagonian Sierra Finch (<em class=""sci"">Phrygilus patagonicus</em>)",0,0.5,0,0.5,0.5,0,0.6,0,0.4,0.25,0.5,0.0015,0.6666667,0.625,0.8,0.6666667,0.7,0.75,1,0.6666667,1,0,0.0015,0.8,1,0.5714286,0,0,0.5,0.6,0.6666667,1,0,0.5,1,1,1,0.75,1,0.5,0,1,0.6666667,0,0.6666667,0.3333333,0,0
"Diuca Finch (<em class=""sci"">Diuca diuca</em>)",0,0,0,0,0,0,0,1,0,0,0.1666667,0,0.3333333,0.25,0.4,0.3333333,0.1,0,0,0.1666667,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.5,0,0,0,0,0,0,0,0
"Plumbeous Sierra Finch (<em class=""sci"">Geospizopsis unicolor</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saffron Finch (<em class=""sci"">Sicalis flaveola</em>)",1,0,0,1,0,0,0.4,1,0.2,0.75,0.3333333,0.0015,0.3333333,0.25,0.6,0.3333333,0.3,0.0833333,0.3333333,0.5,0.25,0,0,0.2,0,0.1428571,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0.5,0.5,0,0,0,0,0.3333333,0.3333333,0.5,0
"Grassland Yellow-Finch (<em class=""sci"">Sicalis luteola</em>)",0,0,0,0,0,0.5,0,0,0,0,0.1666667,0.0015,0,0.125,0.2,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"passerine sp. (<em class=""sci"">Passeriformes sp.</em>)",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
