Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0,0,0,0.25,0,0,0,0,0,0,1,0.3333333,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1666667,0.5,0,0.1666667,0.125,0,0,0
"Black-chested Buzzard-Eagle (<em class=""sci"">Geranoaetus melanoleucus</em>)",0.3333333,0.0015,0.75,0.75,1,0.3333333,0,0.6666667,0.5,0.0015,0.5,0.6666667,0,0.5,0,0,0,0,0,1,0,1,0,0.0015,0,0.75,0,0.375,0,0,0,0.1666667,0,0.3333333,0.2,0.4,0.5,0.4545455,0.7,0,0.6666667,0.5,0.5555556,0.3333333,0.125,0.3333333,0,0.1428571
"Barn Owl (<em class=""sci"">Tyto alba</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lesser Horned Owl (<em class=""sci"">Bubo magellanicus</em>)",0.3333333,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0015,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0909091,0.1,0,0,0,0,0,0,0,0,0
"Austral Pygmy-Owl (<em class=""sci"">Glaucidium nana</em>)",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.5,0,0,0.125,0,0,0,0,0.5,0,0,0.2,0,0.1818182,0,0,0,0,0,0.1666667,0.125,0,0,0
"Short-eared Owl (<em class=""sci"">Asio flammeus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0
"Ringed Kingfisher (<em class=""sci"">Megaceryle torquata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
"Chilean Flicker (<em class=""sci"">Colaptes pitius</em>)",0.3333333,0,0.5,0.5,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1666667,0.0015,0.1111111,0,0.25,0,0,0
"Crested Caracara (<em class=""sci"">Caracara plancus</em>)",0.6666667,1,0.75,1,0.5,0,0.5,0,0.5,0,0.5,0.3333333,0,0,0,0,1,0.5,0,1,0,0.6666667,0,0.5,0,0,0,0.0015,0.5,0,0,0,0,0.6666667,0.2,0,0.5,0,0.2,0,0.5,0.5,0.2222222,0.5,0.25,0.3333333,0.5,0.2857143
"Chimango Caracara (<em class=""sci"">Daptrius chimango</em>)",0.3333333,0,1,0.75,0.5,0,0,0.3333333,1,0,1,0.6666667,0,0,0,0,0,0.5,0,1,0,0.6666667,0,0.5,0,0.5,1,0.5,0,0,1,0.1666667,0.5,0.6666667,0.4,0.6,0.5,0.5454545,0.7,0.5,0.3333333,1,0.4444444,0.5,0.25,0,0.5,0.1428571
"American Kestrel (<em class=""sci"">Falco sparverius</em>)",0.3333333,0,0.75,1,0,0.3333333,1,0.6666667,0.5,0,1,1,0,0.5,0,0,0,0,0,1,0,0.3333333,0,0,0,0.5,0,0.125,0,0,0.5,0.1666667,0.5,0.3333333,0.4,0.6,0.5,0.4545455,0.7,0.5,0.3333333,0,0.5555556,0.6666667,0.375,1,0.5,0.4285714
"Aplomado Falcon (<em class=""sci"">Falco femoralis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.1,0,0,0,0,0.1666667,0,0,0,0
"Peregrine Falcon (<em class=""sci"">Falco peregrinus</em>)",0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222,0,0.125,0,0,0
"Austral Parakeet (<em class=""sci"">Enicognathus ferrugineus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burrowing Parakeet (<em class=""sci"">Cyanoliseus patagonus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3333333,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common Miner (<em class=""sci"">Geositta cunicularia</em>)",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.1428571
"Rufous-banded Miner (<em class=""sci"">Geositta rufipennis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wren-like Rushbird (<em class=""sci"">Phleocryptes melanops</em>)",0,0,0.25,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scale-throated Earthcreeper (<em class=""sci"">Upucerthia dumetaria</em>)",0,0,0,0,1,0.3333333,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1666667,0.125,0,0,0
"Buff-winged Cinclodes (<em class=""sci"">Cinclodes fuscus</em>)",0,0,0.25,0,0,0,0,0,0,0,0.5,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.0909091,0,0.25,0,0,0.1111111,0,0,0,0,0
"Dark-bellied Cinclodes (<em class=""sci"">Cinclodes patagonicus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0.2,0,0,0.5,0.1111111,0,0,0.3333333,0,0
"Plain-mantled Tit-Spinetail (<em class=""sci"">Leptasthenura aegithaloides</em>)",0,0,0.5,0.25,0.5,0,0.5,0.6666667,1,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.3333333,0,0,0,0.0909091,0,0,0.3333333,1,0.2222222,0,0.125,0.6666667,0,0.1428571
"Austral Canastero (<em class=""sci"">Asthenes anthoides</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"Cordilleran Canastero (<em class=""sci"">Asthenes modesta</em>)",0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0.1666667,0,0,0,0
