Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
Sample Size:,5,2,3,6,1,6,7,1,7,6,5,3,2,0,0,3,6,5,0,1,1,1,1,0,0,1,0,6,1,0,0,1,3,0,0,0,1,2,6,3,3,6,6,4,3,6,2,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black-necked Swan (<em class=""sci"">Cygnus melancoryphus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0
"Upland Goose (<em class=""sci"">Chloephaga picta</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1666667,0,0,0.3333333,0,0.1111111
"Ashy-headed Goose (<em class=""sci"">Chloephaga poliocephala</em>)",0.2,0.5,0,0.1666667,0,0,0.2857143,0,0,0.1666667,0,0.3333333,0,0,0,0.6666667,0.1666667,0.2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.6666667,0,0,0,1,0,0,0.6666667,0.6666667,0.3333333,0.8333333,0.75,0.0015,0.5,0,0.1111111
"Flying Steamer-Duck (<em class=""sci"">Tachyeres patachonicus</em>)",0,0.5,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0.3333333,0.3333333,0.1666667,0.1666667,0.25,0.6666667,0.3333333,0,0.1111111
"Spectacled Duck (<em class=""sci"">Speculanas specularis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Torrent Duck (<em class=""sci"">Merganetta armata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red Shoveler (<em class=""sci"">Spatula platalea</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Chiloe Wigeon (<em class=""sci"">Mareca sibilatrix</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.1666667,0,0
