Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Yellow-billed Pintail (<em class=""sci"">Anas georgica</em>)",0.2,0.5,0.3333333,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333,0.3333333,0.25,0,0.3333333,0,0
"Yellow-billed Teal (<em class=""sci"">Anas flavirostris</em>)",0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0.3333333,0,0,0,0,0,0.1666667,0.3333333,0.3333333,0,0,0,0.3333333,0.3333333,0,0
"Andean Duck (<em class=""sci"">Oxyura ferruginea</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"California Quail (<em class=""sci"">Callipepla californica</em>)",0,0.5,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.25,0,0.3333333,0,0
"Chilean Flamingo (<em class=""sci"">Phoenicopterus chilensis</em>)",0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"White-tufted Grebe (<em class=""sci"">Rollandia rolland</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015
"Pied-billed Grebe (<em class=""sci"">Podilymbus podiceps</em>)",0,0.5,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111
"Great Grebe (<em class=""sci"">Podiceps major</em>)",0,0.0015,0.3333333,0.3333333,0,0.3333333,0.0015,0,0,0.1666667,0,0.3333333,0,0,0,0.3333333,0,0.0015,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,1,0.6666667,0.0015,0,0,0,0,0.1666667,0.6666667,0.3333333,0.3333333,0.6666667,0.25,0.3333333,0.3333333,0.5,0
"Silvery Grebe (<em class=""sci"">Podiceps occipitalis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.1666667,0,0
"Rock Pigeon (<em class=""sci"">Columba livia</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.5,0,0
"Picazuro Pigeon (<em class=""sci"">Patagioenas picazuro</em>)",0,0,0,0,0,0,0.1428571,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Chilean Pigeon (<em class=""sci"">Patagioenas araucana</em>)",0,1,1,0.1666667,0.0015,0.3333333,0,1,0.0015,0,0.4,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1666667,0.0015,0,0.3333333,0,0
"Picui Ground Dove (<em class=""sci"">Columbina picui</em>)",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-winged Ground Dove (<em class=""sci"">Metriopelia melanoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eared Dove (<em class=""sci"">Zenaida auriculata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0
"Green-backed Firecrown (<em class=""sci"">Sephanoides sephaniodes</em>)",0.6,0.5,0.6666667,0.3333333,0,0.6666667,0.7142857,1,0.4285714,0.8333333,1,0.6666667,1,0,0,1,0.8333333,0.8,0,1,1,1,1,0,0,1,0,0.6666667,0,0,0,1,0.6666667,0.0015,0,0,1,0,0.3333333,1,0.3333333,0.3333333,0.5,0.0015,0.3333333,0.5,0,0.2222222
"White-sided Hillstar (<em class=""sci"">Oreotrochilus leucopleurus</em>)",0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red-gartered Coot (<em class=""sci"">Fulica armillata</em>)",0.2,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0.3333333,0,0,0,1,0.3333333,0,0,0,0,0,0,0.6666667,0,0,0.1666667,0.25,0,0.3333333,0,0.1111111
"White-winged Coot (<em class=""sci"">Fulica leucoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Black-necked Stilt (<em class=""sci"">Himantopus mexicanus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southern Lapwing (<em class=""sci"">Vanellus chilensis</em>)",0.4,0,0.3333333,0,0,0,0.1428571,0,0,0.1666667,0.6,0,0,0,0,0.3333333,0.1666667,0.2,0,0,0.0015,0,0,0,0,0,0,0.5,0,0.0015,0,0,1,0.0015,0,0,1,0.5,0.3333333,0,0.3333333,0.5,0.6666667,0.75,1,0.5,0.5,0.3333333
"Magellanic Snipe (<em class=""sci"">Gallinago magellanica</em>)",0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lesser Yellowlegs (<em class=""sci"">Tringa flavipes</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Brown-hooded Gull (<em class=""sci"">Chroicocephalus maculipennis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Kelp Gull (<em class=""sci"">Larus dominicanus</em>)",0,0.5,0.3333333,0.3333333,1,0.1666667,0.0015,1,0,0,0,0,0,0,0,0.6666667,0,0.2,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,1,0.6666667,0.0015,0,0,1,0,0.1666667,0.3333333,0.3333333,0.3333333,0.8333333,0.25,0.3333333,0.6666667,0,0.1111111
"Neotropic Cormorant (<em class=""sci"">Nannopterum brasilianum</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0.5,0,0.1111111
"Black-crowned Night Heron (<em class=""sci"">Nycticorax nycticorax</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snowy Egret (<em class=""sci"">Egretta thula</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Egret (<em class=""sci"">Ardea alba</em>)",0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1666667,0.1666667,0,0,0,0,0.1111111
"Cocoi Heron (<em class=""sci"">Ardea cocoi</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-faced Ibis (<em class=""sci"">Plegadis chihi</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black-faced Ibis (<em class=""sci"">Theristicus melanopis</em>)",0,0,0.6666667,0,0.0015,0,0.2857143,0,0,0.1666667,0,0.3333333,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,1,0.3333333,0.0015,0,0,0,0,0.1666667,0.3333333,0,0.1666667,0.5,0.5,0.6666667,0.3333333,0,0.0015
"Andean Condor (<em class=""sci"">Vultur gryphus</em>)",0.2,0.5,0,0,0,0,0.1428571,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.3333333,0,0,0,0,0,0.1666667,0.3333333,0,0.1666667,0,0,0,0.5,0,0
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",0.2,0,0.3333333,0.1666667,0,0.3333333,0.1428571,0,0.1428571,0.3333333,0,0,0,0,0,0,0.1666667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0015,0,0,1,0,0,0.6666667,0,0,0.3333333,0,0.0015,0.6666667,0,0
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",0,0.5,0,0,0,0.1666667,0.1428571,0.0015,0.1428571,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.3333333,0.3333333,0,0
"Chilean Hawk (<em class=""sci"">Accipiter chilensis</em>)",0.2,0,0,0.1666667,0,0,0,0,0.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.1666667,0.1666667,0,0,0.1666667,0,0
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0.1666667,0.25,0,0.1666667,0,0
"Black-chested Buzzard-Eagle (<em class=""sci"">Geranoaetus melanoleucus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0.3333333,0,0
"White-throated Hawk (<em class=""sci"">Buteo albigula</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.1111111
"Rufous-tailed Hawk (<em class=""sci"">Buteo ventralis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Barn Owl (<em class=""sci"">Tyto alba</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"Austral Pygmy-Owl (<em class=""sci"">Glaucidium nana</em>)",0.2,0,0,0.1666667,0,0,0,1,0.1428571,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.25,0,0,0,0
"Rufous-legged Owl (<em class=""sci"">Strix rufipes</em>)",0,0.0015,0,0,0.0015,0,0,0,0,0.1666667,0,0,0,0,0,0.0015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111
"Ringed Kingfisher (<em class=""sci"">Megaceryle torquata</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0
"Striped Woodpecker (<em class=""sci"">Dryobates lignarius</em>)",0,1,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.1666667,0,0,0,0,0
"Magellanic Woodpecker (<em class=""sci"">Campephilus magellanicus</em>)",0,0.5,0.6666667,0.5,0.0015,0.6666667,0.5714286,0,0.5714286,0.3333333,0.4,0,0.5,0,0,0,0.1666667,0.2,0,0.0015,0,1,0,0,0,0,0,0.1666667,0,0,0,1,0,0.0015,0,0,0,0.5,0.5,0.6666667,0.3333333,0.1666667,0.5,0.0015,0.0015,0.5,0,0.4444444
"Chilean Flicker (<em class=""sci"">Colaptes pitius</em>)",0.2,0.5,0,0,0,0,0,1,0.1428571,0,0.2,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666667,0,0,0.1666667,0,0,0.5,0,0.0015
"Crested Caracara (<em class=""sci"">Caracara plancus</em>)",0,0.5,0.0015,0,0,0.1666667,0.2857143,0,0.1428571,0,0.4,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,1,0,0,0,0.0015,0,1,0.3333333,0,0,0,1,0,0.5,0.6666667,0.3333333,0,0.5,0.5,0.0015,0.5,0.5,0.0015
"Chimango Caracara (<em class=""sci"">Daptrius chimango</em>)",0.8,1,0.6666667,0.3333333,0,0,0.4285714,1,0.1428571,0.5,0.8,0.3333333,1,0,0,1,0.8333333,0.4,0,1,1,1,0,0,0,1,0,0.8333333,1,0,0,0,1,0.0015,0,0.0015,1,0,0.6666667,0.6666667,0.6666667,0.3333333,1,0.75,1,1,0.5,0.5555556
"White-throated Caracara (<em class=""sci"">Daptrius albogularis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"American Kestrel (<em class=""sci"">Falco sparverius</em>)",0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0
"Aplomado Falcon (<em class=""sci"">Falco femoralis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Peregrine Falcon (<em class=""sci"">Falco peregrinus</em>)",0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Austral Parakeet (<em class=""sci"">Enicognathus ferrugineus</em>)",0.8,1,1,0.3333333,0.0015,0.3333333,0.1428571,0,0.7142857,0.5,0.6,0,0,0,0,0.6666667,0.1666667,0.4,0,1,1,1,0,0,0,1,0,0.1666667,0,0,0,1,0.3333333,0,0,0,0,0,0.5,0.6666667,0.3333333,0.1666667,0.3333333,0.0015,0.6666667,1,0.5,0.1111111
"Black-throated Huet-huet (<em class=""sci"">Pteroptochos tarnii</em>)",0.4,0.5,0.6666667,0.5,0.0015,0.6666667,0.7142857,1,0.4285714,0.3333333,0.6,0.6666667,0,0,0,0.3333333,0.1666667,0.4,0,1,1,0,0,0,0,0,0,0.3333333,0,0,0,1,0.6666667,0,0,0,0,0,0.5,0.3333333,0,0.3333333,0.3333333,0.25,0,0.8333333,0,0.2222222
"Chucao Tapaculo (<em class=""sci"">Scelorchilus rubecula</em>)",0.8,0.5,1,1,0.0015,1,1,1,0.8571429,0.6666667,0.4,0.6666667,1,0,0,1,0.5,0.6,0,1,1,0,0,0,0,1,0,0.8333333,0,0.0015,0,1,0.6666667,0.0015,0,0,0,0.5,0.8333333,0.6666667,0.3333333,0.3333333,0.6666667,0.5,1,0.8333333,0.5,0.7777778
"Magellanic Tapaculo (<em class=""sci"">Scytalopus magellanicus</em>)",0.6,0.5,0.6666667,0.3333333,0.0015,0.6666667,0.4285714,0,0.2857143,0.8333333,0.6,0.3333333,1,0,0,0.3333333,0.1666667,0.4,0,1,1,0,0,0,0,0,0,0.1666667,1,0,0,0.0015,0.3333333,0.0015,0,0,0,0,0.1666667,0.3333333,0,0.1666667,0,0.25,0.6666667,0.8333333,1,0.7777778
"Common Miner (<em class=""sci"">Geositta cunicularia</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Rufous-banded Miner (<em class=""sci"">Geositta rufipennis</em>)",0,0,0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-throated Treerunner (<em class=""sci"">Pygarrhichas albogularis</em>)",0.8,1,0.6666667,0.5,0.0015,0.3333333,0.5714286,0,0.2857143,0.8333333,0.6,0.6666667,1,0,0,0.3333333,0.3333333,0.8,0,0,1,0,1,0,0,1,0,0.3333333,0,0,0,1,0.6666667,0.0015,0,0,1,0,0.3333333,0.6666667,0.3333333,0.1666667,0.1666667,0.5,0.3333333,0.5,0,0.5555556
"Band-tailed Earthcreeper (<em class=""sci"">Ochetorhynchus phoenicurus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wren-like Rushbird (<em class=""sci"">Phleocryptes melanops</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patagonian Forest Earthcreeper (<em class=""sci"">Upucerthia saturatior</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scale-throated Earthcreeper (<em class=""sci"">Upucerthia dumetaria</em>)",0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Buff-winged Cinclodes (<em class=""sci"">Cinclodes fuscus</em>)",0,0,0,0,0,0,0.2857143,0,0,0.1666667,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
"Dark-bellied Cinclodes (<em class=""sci"">Cinclodes patagonicus</em>)",0,0.5,0,0.1666667,0,0,0.4285714,0,0.1428571,0,0,0,0,0,0,0.3333333,0.3333333,0.2,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0.6666667,0,0.1666667,0.3333333,0,0,0.3333333,0,0.0015
"Thorn-tailed Rayadito (<em class=""sci"">Aphrastura spinicauda</em>)",0.8,1,0.6666667,0.8333333,1,0.8333333,0.5714286,0.0015,0.5714286,0.8333333,0.8,1,1,0,0,1,0.8333333,0.6,0,1,1,1,1,0,0,1,0,0.1666667,1,0,0,1,0.6666667,0.0015,0,0,1,0.5,0.8333333,0.6666667,1,0.6666667,0.8333333,0.25,0.6666667,1,1,0.6666667
"Des Murs's Wiretail (<em class=""sci"">Sylviorthorhynchus desmursii</em>)",0,0,0.3333333,0.1666667,0.0015,0,0,0,0.1428571,0.5,0,0.3333333,0,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0.1666667,0.3333333,0,0.1666667,0,0,0,0.3333333,0,0.0015
"Plain-mantled Tit-Spinetail (<em class=""sci"">Leptasthenura aegithaloides</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333,0.0015,0,0,0,0,0,0.3333333,0,0,0,0,0,0.1666667,0,0
"Austral Canastero (<em class=""sci"">Asthenes anthoides</em>)",0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patagonian Canastero (<em class=""sci"">Pseudasthenes patagonica</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous-tailed Plantcutter (<em class=""sci"">Phytotoma rara</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0
"Tufted Tit-Tyrant (<em class=""sci"">Anairetes parulus</em>)",0.2,0.5,0.3333333,0.3333333,0.0015,0.5,0.4285714,1,0.5714286,0.6666667,0.2,0,0.5,0,0,0.3333333,0,0.6,0,1,1,0,0,0,0,0,0,0.3333333,0,0,0,0.0015,0.3333333,0.0015,0,0,1,0,0.1666667,0.3333333,0,0.1666667,0.3333333,0,0,0.3333333,0.5,0.0015
"White-crested Elaenia (<em class=""sci"">Elaenia albiceps</em>)",0.6,0.5,0.6666667,1,0.0015,1,0.7142857,1,0.8571429,0.8333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.3333333,1,0.8333333,1,0.5,1,1,1,0.8888889
"Austral Negrito (<em class=""sci"">Lessonia rufa</em>)",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1666667,0.1666667,0.0015,0,0.5,0,0
"Spectacled Tyrant (<em class=""sci"">Hymenops perspicillatus</em>)",0,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dark-faced Ground-Tyrant (<em class=""sci"">Muscisaxicola maclovianus</em>)",0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.3333333,0,0,0
"White-browed Ground-Tyrant (<em class=""sci"">Muscisaxicola albilora</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0.1666667,0,0
