Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Mallard (<em class=""sci"">Anas platyrhynchos</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555556,0.0769231,0
"Yellow-billed Pintail (<em class=""sci"">Anas georgica</em>)",1,0,0.5,0.2,0,0,0,0,0,0,0.3333333,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0.25,0,0,0.3333333,1,0.4,0.3333333,1,0.6666667,0.5,0.6666667,0.3333333,0.8,0.8333333,0.5454545,0.6,0.7,0.8888889,0.2,1,1,0.2857143,0.5,0.3846154,0.6
"Yellow-billed Teal (<em class=""sci"">Anas flavirostris</em>)",0.25,0.5,0.75,0.2,0,0,0,0,1,0.3333333,0,0,0,0,0.25,0,0,0.0588235,0.4,0.2,0.5,0,0,0.125,0,0.0909091,0.6666667,1,0.2,0.3333333,0.5,0.3333333,0.625,0,0.6666667,0.6,0.8333333,0.6363636,0.3333333,0.4,0.2222222,0.4,0.25,0.25,0.1428571,0.1666667,0.3846154,0.2
"California Quail (<em class=""sci"">Callipepla californica</em>)",0.5,0,0.25,0.4,0,0,0.3333333,1,0,0.3333333,0.3333333,0,0.25,0,0,1,0.25,0.0588235,0,0,0.5,0,0,0.125,0,0,0,0,0,0.3333333,0.5,0,0,0,0,0,0.1666667,0.2727273,0.1333333,0,0.2222222,0,0.25,0.25,0,0.2222222,0.1538462,0.2
"Chilean Flamingo (<em class=""sci"">Phoenicopterus chilensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-tufted Grebe (<em class=""sci"">Rollandia rolland</em>)",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Pied-billed Grebe (<em class=""sci"">Podilymbus podiceps</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0
"Great Grebe (<em class=""sci"">Podiceps major</em>)",0.25,0,0.25,0.2,0,0.0015,0,0,0,0.3333333,0,0.25,0.25,0.2,0.25,0.5,0.25,0.3529412,0.2,0.6,0.5,0,0.5,0.625,0.5,0.3636364,0.6666667,0,0.4,0.3333333,1,0.3333333,0.5,0.3333333,0.6666667,0.8,0.3333333,0.3636364,0.6,0.2,0.6666667,0,0.75,0.75,0.2857143,0.3888889,0.3076923,0.2
"Silvery Grebe (<em class=""sci"">Podiceps occipitalis</em>)",0.5,0.5,0.25,0,0,0,0,0,0,0,0.3333333,0,0,0.2,0,0.5,0,0,0,0,0,0,1,0.25,0,0.1818182,0,0,0,0,0,0.1111111,0,0,0,0,0.3333333,0.2727273,0.2,0.1,0.2222222,0,0.25,0.25,0.4285714,0.5555556,0.3076923,0.4
"Rock Pigeon (<em class=""sci"">Columba livia</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1666667,0.0909091,0,0.1,0,0,0,0,0,0.0555556,0.1538462,0
"Picazuro Pigeon (<em class=""sci"">Patagioenas picazuro</em>)",0.5,1,0.0015,0,0,0,0.6666667,0,0,0,0,0.5,0.5,0.2,0.25,0.5,0,0.1176471,0.2,0.2,0,0,0,0.25,0,0.1818182,0,0,0.2,0.3333333,0.5,0.2222222,0,0.6666667,0,0,0,0.1818182,0.2,0.1,0.4444444,0,0,0,0.2857143,0.2777778,0.1538462,0.2
"Spot-winged Pigeon (<em class=""sci"">Patagioenas maculosa</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picui Ground Dove (<em class=""sci"">Columbina picui</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0
"Eared Dove (<em class=""sci"">Zenaida auriculata</em>)",1,0,0.0015,0,0,0,0.3333333,1,0,0.3333333,0,0,0.25,0.2,0,0,0.25,0.0588235,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.3333333,0,0.2,0.1666667,0.0909091,0.2,0.1,0.2222222,0,0.5,0,0.1428571,0.2222222,0.0769231,0.2
"Green-backed Firecrown (<em class=""sci"">Sephanoides sephaniodes</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25,0.5,0.25,0.1764706,0,0.2,0,0,0,0,0,0,0,0,0.2,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red-gartered Coot (<em class=""sci"">Fulica armillata</em>)",0.25,0.5,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.5,0,0.5,0,0,0,0.2,0,0.5,0.1111111,0.125,0,0,0.6,0.1666667,0.0909091,0.0666667,0.1,0.2222222,0,0.25,0,0.2857143,0.0555556,0,0.2
"White-winged Coot (<em class=""sci"">Fulica leucoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666667,0,0,0,0,0,0,0,0,0
"Black-necked Stilt (<em class=""sci"">Himantopus mexicanus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous-chested Dotterel (<em class=""sci"">Zonibyx modestus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southern Lapwing (<em class=""sci"">Vanellus chilensis</em>)",1,1,1,1,0,0,0.6666667,1,1,1,0.3333333,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,1,0.8,1,1,0.8888889,0.75,1,1,1,0.8333333,0.8181818,0.7333333,0.9,1,1,1,1,1,0.8888889,1,0.6
"Collared Plover (<em class=""sci"">Anarhynchus collaris</em>)",0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magellanic Snipe (<em class=""sci"">Gallinago magellanica</em>)",0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0
"snipe sp. (<em class=""sci"">Gallinago sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lesser Yellowlegs (<em class=""sci"">Tringa flavipes</em>)",0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greater Yellowlegs (<em class=""sci"">Tringa melanoleuca</em>)",0.25,0,0.5,0.4,0,0,0,0,0,0.3333333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.1333333,0,0,0,0,0,0.2857143,0.1111111,0,0.2
"Baird's Sandpiper (<em class=""sci"">Calidris bairdii</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.0015,0.3333333,0.3636364,0.0666667,0.1,0,0,0,0,0,0,0,0
"Parasitic Jaeger (<em class=""sci"">Stercorarius parasiticus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555556,0.1538462,0
"Sabine's Gull (<em class=""sci"">Xema sabini</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6111111,0,0
"Brown-hooded Gull (<em class=""sci"">Chroicocephalus maculipennis</em>)",0,0.5,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.2727273,0.2666667,0.2,0.4444444,0.4,0,0,0.1428571,0.0555556,0,0.2
"Kelp Gull (<em class=""sci"">Larus dominicanus</em>)",0.75,0.5,1,1,0,0,0.6666667,1,1,1,0.6666667,0.75,0.25,0.8,1,1,0.75,0.6470588,0.8,0.8,0.5,1,1,0.875,0.5,1,1,1,0.8,0.6666667,1,0.6666667,1,1,1,0.6,1,0.9090909,0.8,0.9,0.8888889,1,0.75,1,0.8571429,0.9444444,0.9230769,1
"Neotropic Cormorant (<em class=""sci"">Nannopterum brasilianum</em>)",1,0,0.5,0.4,0,0,0.6666667,0,1,0.3333333,0.3333333,0,0.25,0.4,0.5,1,0,0.2941176,0.2,0.6,0.5,1,0.5,0.5,0.5,0.4545455,0.6666667,0,0.4,0.6666667,1,0.8888889,0.875,1,1,1,0.6666667,0.7272727,0.6666667,0.9,0.7777778,0.8,0.75,0.75,0.5714286,0.7777778,0.6153846,0.4
"Black-crowned Night Heron (<em class=""sci"">Nycticorax nycticorax</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0.25,0.25,0.1428571,0.1111111,0.0769231,0.2
"Snowy Egret (<em class=""sci"">Egretta thula</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Western Cattle Egret (<em class=""sci"">Bubulcus ibis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.0588235,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Egret (<em class=""sci"">Ardea alba</em>)",0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.2,0,0.5,0,0,0,0,0.5,1,0,0.125,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-faced Ibis (<em class=""sci"">Plegadis chihi</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
"Black-faced Ibis (<em class=""sci"">Theristicus melanopis</em>)",0.75,0.5,0.5,0.2,0.0015,0,0.3333333,1,1,0.3333333,0,0,0,0.2,0.25,0.5,0.75,0.1764706,0,0,0,0,0.5,0.75,0,0,0.3333333,0,0.8,0.3333333,0.5,0.5555556,0.625,0.6666667,0.3333333,0.8,0.6666667,0.6363636,0.6,0.8,0.7777778,0.4,0.75,1,0.4285714,0.6666667,0.3846154,0.4
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",0.0015,0,0.5,0,0,0,0,1,0,0,0,0,0,0.4,0,0,0.25,0.2941176,0.6,0.2,0,0,0,0.375,0,0.2727273,0.3333333,0,0.2,0,0,0.2222222,0.125,0.3333333,0.3333333,0.2,0.1666667,0.1818182,0.2666667,0.3,0.1111111,0,0,0,0,0.3333333,0.4615385,0.2
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1666667,0,0.4
"Cinereous Harrier (<em class=""sci"">Circus cinereus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333,0,0,0.2,0,0,0.1428571,0,0.1538462,0
"Chilean Hawk (<em class=""sci"">Accipiter chilensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris's Hawk (<em class=""sci"">Parabuteo unicinctus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.2,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0588235,0,0,0,0,0,0.25,0,0.0909091,0,0,0,0.3333333,0,0.3333333,0.125,0,0.3333333,0.2,0,0.0909091,0,0,0,0.2,0,0,0,0,0.0769231,0
"Black-chested Buzzard-Eagle (<em class=""sci"">Geranoaetus melanoleucus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0.0555556,0.0769231,0
"Lesser Horned Owl (<em class=""sci"">Bubo magellanicus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austral Pygmy-Owl (<em class=""sci"">Glaucidium nana</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ringed Kingfisher (<em class=""sci"">Megaceryle torquata</em>)",0,0.5,0.25,0,0,0,0.3333333,0,0,0.3333333,0,0.25,0,0.4,0.25,1,0,0.2352941,0,0.2,0.5,0,0,0.5,0.5,0.5454545,0.3333333,1,0,0,0,0.1111111,0.25,0,0,0,0,0,0,0.1,0.2222222,0,0,0.25,0,0.0555556,0.0015,0
"Crested Caracara (<em class=""sci"">Caracara plancus</em>)",0.0015,0.5,0.25,0,0,0,0,0.0015,0,0,0.3333333,0,0.25,0.2,0,1,0.25,0,0.4,0.4,0.5,0,1,0.25,0,0.4545455,0.6666667,1,0.2,0,1,0.3333333,0.125,0.3333333,0,0.4,0.3333333,0,0.2666667,0.2,0.3333333,0.2,0.25,0,0,0.1111111,0.0769231,0
"Chimango Caracara (<em class=""sci"">Daptrius chimango</em>)",1,1,1,0.6,0,0,0.6666667,1,1,1,1,1,0.75,1,1,1,1,0.5882353,1,0.8,1,1,1,0.875,1,0.9090909,1,1,1,0.3333333,1,0.5555556,0.625,1,0.6666667,1,1,0.9090909,0.8666667,0.7,1,0.8,0.75,1,0.8571429,0.8888889,0.9230769,0.6
"American Kestrel (<em class=""sci"">Falco sparverius</em>)",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176471,0.2,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0
"Peregrine Falcon (<em class=""sci"">Falco peregrinus</em>)",0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"Austral Parakeet (<em class=""sci"">Enicognathus ferrugineus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.2352941,0,0,0,0,0,0.125,0,0,0,0,0.2,0,0,0,0.125,0,0,0,0,0.1818182,0,0,0,0,0,0,0,0.0555556,0,0
"Rufous-banded Miner (<em class=""sci"">Geositta rufipennis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0
"Band-tailed Earthcreeper (<em class=""sci"">Ochetorhynchus phoenicurus</em>)",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scale-throated Earthcreeper (<em class=""sci"">Upucerthia dumetaria</em>)",0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buff-winged Cinclodes (<em class=""sci"">Cinclodes fuscus</em>)",0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.4,0.75,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0.2,0.3333333,0,0,0.5,0.3333333,0,0.4,0.3333333,0.6363636,0.0666667,0.3,0.1111111,0,0.25,0,0,0,0,0
"Gray-flanked Cinclodes (<em class=""sci"">Cinclodes oustaleti</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dark-bellied Cinclodes (<em class=""sci"">Cinclodes patagonicus</em>)",1,1,0.75,0.6,0,0.0015,0.6666667,0,1,1,0,0.25,1,0.6,0.5,1,0.75,0.2941176,0.4,0.4,0.5,0,0.5,0.5,0.5,0.2727273,0.3333333,0,0.6,1,1,0.8888889,0.625,0.3333333,0.6666667,0.4,0.5,0.4545455,0.4666667,0.7,0.7777778,0.8,0,0.75,0.4285714,0.6111111,0.5384615,0.6
"cinclodes sp. (<em class=""sci"">Cinclodes sp.</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thorn-tailed Rayadito (<em class=""sci"">Aphrastura spinicauda</em>)",0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0.2,0.25,0,0,0.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Plain-mantled Tit-Spinetail (<em class=""sci"">Leptasthenura aegithaloides</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.4,0,0.5,0.25,0.2352941,0.2,0.2,0,0,0,0,0,0.1818182,0,0,0,0,0,0,0.125,0,0.3333333,0.4,0,0.1818182,0.2,0.1,0.3333333,0,0,0.25,0.1428571,0,0,0
"Sharp-billed Canastero (<em class=""sci"">Asthenes pyrrholeuca</em>)",0.5,0.5,0.25,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.3636364,0.3333333,0.6,0.6666667,0.8,0.5,0.75,0.5714286,0.5,0.6153846,0
"Rufous-tailed Plantcutter (<em class=""sci"">Phytotoma rara</em>)",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1818182,0.1333333,0.2,0.5555556,0.2,0,0.5,0.1428571,0.2222222,0.3076923,0.2
"Many-colored Rush Tyrant (<em class=""sci"">Tachuris rubrigastra</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Tufted Tit-Tyrant (<em class=""sci"">Anairetes parulus</em>)",0.5,0.5,0.75,0.2,0,0,0.3333333,1,1,0,0.3333333,0.75,0.5,0.6,0.5,1,0.5,0.4705882,0.2,0.8,0.5,0,1,0.5,0,0.5454545,0.3333333,0,0.4,0.3333333,1,0.7777778,0.375,0,0.6666667,0.4,0.3333333,0.3636364,0.3333333,0.5,0.5555556,0.4,0.25,0.25,0.1428571,0.3333333,0.2307692,0
"White-crested Elaenia (<em class=""sci"">Elaenia albiceps</em>)",1,1,1,0.6,0,0,1,1,0,0.3333333,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666667,0.5,0.6666667,0.8,0.75,1,0.5714286,0.6111111,0.5384615,0.4
"Austral Negrito (<em class=""sci"">Lessonia rufa</em>)",0.75,1,1,0.4,0,0,0.3333333,0,0,0,0.3333333,0,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3333333,1,0.8,1,1,0.7333333,0.9,0.7777778,0.8,0.75,1,0.5714286,0.8888889,0.9230769,0.6
"Spectacled Tyrant (<em class=""sci"">Hymenops perspicillatus</em>)",1,1,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.6363636,0.2,0.5,0.8888889,0.6,0.5,1,0.4285714,0.3888889,0.3076923,0.6
"Spot-billed Ground-Tyrant (<em class=""sci"">Muscisaxicola maculirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Dark-faced Ground-Tyrant (<em class=""sci"">Muscisaxicola maclovianus</em>)",0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0.25,0,0.2,0,0.5,0,0,0.125,0,0.2727273,0.3333333,0,0.4,0,1,0.1111111,0,1,1,0,0.3333333,0.3636364,0,0.1,0.2222222,0.2,0,0,0,0,0,0
"Fire-eyed Diucon (<em class=""sci"">Pyrope pyrope</em>)",0,0,0.25,0.2,0,0,0,0,0,0,0,0.25,0.25,0,0,0.5,0.25,0.5294118,0.8,0.8,0,0,0.5,0.375,0,0.6363636,0.3333333,0,0.2,0.3333333,0.5,0.5555556,0.375,0.6666667,0.3333333,0.4,0.1666667,0.5454545,0.2666667,0.1,0.5555556,0,0,0.25,0,0.1666667,0.0769231,0.2
"Great Shrike-Tyrant (<em class=""sci"">Agriornis lividus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.1176471,0,0.4,0,0,0.5,0.125,0,0.0909091,0.3333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0
"Gray-bellied Shrike-Tyrant (<em class=""sci"">Agriornis micropterus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0
"Patagonian Tyrant (<em class=""sci"">Colorhamphus parvirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
