Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
Sample Size:,4,2,4,5,0,0,3,1,1,3,3,4,4,5,4,2,4,17,5,5,2,1,2,8,2,11,3,1,5,3,2,9,8,3,3,5,6,11,15,10,9,5,4,4,7,18,13,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upland Goose (<em class=""sci"">Chloephaga picta</em>)",0,0.5,0,0.4,0,0,0.6666667,0,0,0,0,0,0,0,0.25,0,0,0.1176471,0,0.2,0,0,0,0,0,0.2727273,0,0,0.4,0.3333333,0,0.2222222,0.25,0.3333333,0,0.2,0,0.2727273,0.2,0.2,0,0,0.25,0,0.1428571,0.2222222,0.0769231,0
"Ashy-headed Goose (<em class=""sci"">Chloephaga poliocephala</em>)",0,0.5,0.25,0,0,0.0015,1,1,1,1,0.6666667,0.75,0.5,0.6,1,0.5,0.5,0.4117647,0.4,0.2,1,0,0.5,0.375,0,0.7272727,0.6666667,0,0.4,0.6666667,0.5,0.3333333,0.25,0.3333333,0,0.2,0.0015,0.3636364,0.2,0.3,0.5555556,0.6,0.75,0,0.1428571,0.6666667,0.3846154,0.4
"Flying Steamer-Duck (<em class=""sci"">Tachyeres patachonicus</em>)",0,0,0.25,0,0,0.0015,0,0,0,0,0,0,0,0,0,0.5,0.25,0.2941176,0.4,0.4,0.5,0,0,0.25,0,0.4545455,0.3333333,0,0.2,0,0.5,0.2222222,0.25,0.6666667,0.6666667,0.2,0.5,0.5454545,0.1333333,0.3,0.2222222,0.2,0,0,0.1428571,0.2777778,0.4615385,0.4
"Spectacled Duck (<em class=""sci"">Speculanas specularis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0
"Silver Teal (<em class=""sci"">Spatula versicolor</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamon Teal (<em class=""sci"">Spatula cyanoptera</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Red Shoveler (<em class=""sci"">Spatula platalea</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.2,0,0,0.0666667,0.1,0.1111111,0,0.25,0,0,0,0.0769231,0
"Chiloe Wigeon (<em class=""sci"">Mareca sibilatrix</em>)",0.5,0,0.25,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.2,0.3333333,0.3636364,0.0666667,0.4,0.4444444,0.6,0.25,0.75,0.1428571,0.3333333,0.1538462,0.4
