Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S52513669,Bufflehead,Bucephala albeola,701,30,US-VA,Newport News,L3015438,Riverview Farm Park,37.0884939,-76.5302038,2019-02-09,09:46 AM,eBird - Stationary Count,3,1,,,1
S51589158,Bufflehead,Bucephala albeola,701,5,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2019-01-12,10:12 AM,eBird - Traveling Count,90,1,.483,,1
S52032878,Bufflehead,Bucephala albeola,701,2,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2019-01-25,03:33 PM,eBird - Traveling Count,40,1,.08,,1
S43527892,Bufflehead,Bucephala albeola,701,11,US-VA,Northampton,L1133976,Kiptopeke SP--Fishing Pier,37.1666606,-75.9883332,2018-03-10,09:52 AM,eBird - Traveling Count,120,1,.483,,1,,,Sadly no SNBU to be found. 
S157839315,Bufflehead,Bucephala albeola,701,5,US-VA,Northampton,L1133976,Kiptopeke SP--Fishing Pier,37.1666606,-75.9883332,2024-01-02,09:07 AM,eBird - Stationary Count,5,1,,,1,,,"Overcast clouds  Temperature: 41°F  Wind: strong breeze, gusty   Wind Direction: N  Cloud Cover: 96%  Humidity: 76%  Weather generated by <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S43383811,Bufflehead,Bucephala albeola,701,1,US-VA,Poquoson,L2153527,Messick Point,37.110145,-76.3212061,2018-02-25,04:42 PM,eBird - Stationary Count,80,1,,,1
S43141017,Bufflehead,Bucephala albeola,701,12,US-VA,Prince William,L718641,Occoquan Bay NWR,38.6455061,-77.2361183,2018-02-24,09:13 AM,eBird - Traveling Count,200,1,4.023,,2,,,"50, humid. Still. Dense fog. Visibility offshore only to about 30 yards."
S34021967,Bufflehead,Bucephala albeola,701,12,US-VA,Virginia Beach,L718307,**Back Bay NWR,36.672127,-75.915661,2017-01-29,09:55 AM,eBird - Traveling Count,185,1,3.219,,1
S33703216,Bufflehead,Bucephala albeola,701,32,US-VA,Virginia Beach,L132236,CBBT--South Thimble Island (#1),36.9645004,-76.1134033,2017-01-15,10:45 AM,eBird - Traveling Count,75,1,.402,,1
S42639612,Bufflehead,Bucephala albeola,701,20,US-VA,Virginia Beach,L285056,Rudee Inlet,36.830108,-75.9694424,2018-02-10,10:05 AM,eBird - Stationary Count,55,1,,,1
S50895292,Bufflehead,Bucephala albeola,701,2,US-AZ,Yavapai,L1092125,Sedona Wetlands Preserve,34.829,-111.8964,2018-12-23,08:11 AM,eBird - Traveling Count,30,1,1.609,,1
S37158881,Common Goldeneye,Bucephala clangula,702,1,US-MA,Hampshire,L1877563,Brunelle Marina,42.263181,-72.599806,2016-12-28,,Historical,,0,,,1
S52020829,Common Goldeneye,Bucephala clangula,702,2,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2019-01-25,10:27 AM,eBird - Traveling Count,30,1,.161,,1
S52339028,Common Goldeneye,Bucephala clangula,702,1,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2019-02-03,12:46 PM,eBird - Traveling Count,25,1,.241,,1
S101415454,Common Goldeneye,Bucephala clangula,702,5,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2022-01-25,11:07 AM,eBird - Stationary Count,14,1,,,1
S41753428,Common Goldeneye,Bucephala clangula,702,1,US-VA,Newport News,L5292802,King-Lincoln Park,36.9686017,-76.4106631,2018-01-08,02:56 PM,eBird - Traveling Count,120,1,1.127,,1,,,,81197791
S42440489,Common Goldeneye,Bucephala clangula,702,1,US-VA,Newport News,L5292802,King-Lincoln Park,36.9686017,-76.4106631,2018-02-02,04:09 PM,eBird - Traveling Count,55,1,.483,,1,,,,84362841
S52339015,Common Goldeneye,Bucephala clangula,702,2,US-VA,Newport News,L5257627,Riverfront Park,37.0284941,-76.4644991,2019-02-03,01:28 PM,eBird - Stationary Count,20,1,,,1
S51592723,Common Goldeneye,Bucephala clangula,702,1,US-VA,Newport News,L3015438,Riverview Farm Park,37.0884939,-76.5302038,2019-01-12,12:01 PM,eBird - Traveling Count,50,1,.161,,1,,,,134892771
S52029289,Common Goldeneye,Bucephala clangula,702,1,US-VA,Newport News,L3015438,Riverview Farm Park,37.0884939,-76.5302038,2019-01-25,01:46 PM,eBird - Traveling Count,45,1,.322,,1
S52134578,Common Goldeneye,Bucephala clangula,702,2,US-VA,Newport News,L3015438,Riverview Farm Park,37.0884939,-76.5302038,2019-01-28,11:21 AM,eBird - Traveling Count,34,1,.08,,1,,,,137613191 137613201
S33739824,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Accomack,L718378,**CHINCOTEAGUE NWR,37.9106228,-75.3479719,2017-01-16,07:00 AM,eBird - Traveling Count,120,1,4.828,,1
S32713582,Hooded Merganser,Lophodytes cucullatus,712,1,US-MA,Berkshire,L468972,"Mount Williams Reservoir, North Adams",42.6862,-73.1524,2016-11-25,10:45 AM,eBird - Traveling Count,60,1,1.609,,1
S32833209,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2016-12-03,08:30 AM,eBird - Traveling Count,150,1,5.633,,1
S33078181,Hooded Merganser,Lophodytes cucullatus,712,7,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2016-12-18,08:30 AM,eBird - Traveling Count,180,1,6.437,,1
S41772498,Hooded Merganser,Lophodytes cucullatus,712,115,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2018-01-09,08:33 AM,eBird - Traveling Count,270,1,6.437,,1
S41263160,Hooded Merganser,Lophodytes cucullatus,712,X,US-DE,New Castle,L6596764,"DE-1 N, Smyrna US-DE (39.3426,-75.6397)",39.342588,-75.63973,2017-12-23,08:36 AM,eBird - Casual Observation,,0,,,1
S41794094,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-01-10,11:22 AM,eBird - Traveling Count,60,1,.161,,1
S82754925,Hooded Merganser,Lophodytes cucullatus,712,5,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-03-04,03:39 PM,eBird - Traveling Count,28,1,.483,,1,,,"Wild number of LBBG for the peninsula. Between here and King-Lincoln at least 15, though that feels conservative."
S82757072,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-03-04,04:57 PM,eBird - Stationary Count,8,1,,,1
S106421223,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-06,04:38 PM,eBird - Stationary Count,39,1,,,1
S106449486,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-07,07:36 AM,eBird - Stationary Count,10,1,,,1
S106469367,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-07,01:06 PM,eBird - Stationary Count,9,1,,,1
S106509433,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-08,07:02 AM,eBird - Stationary Count,15,1,,,1,,1f
S106725732,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-10,03:17 PM,eBird - Stationary Count,8,1,,,1
S106774117,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-11,07:11 AM,eBird - Stationary Count,25,1,,,1
S107573854,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-20,06:26 PM,eBird - Traveling Count,34,1,.402,,1
S107634812,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-21,03:10 PM,eBird - Stationary Count,12,1,,,1
S135309027,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-11-22,01:27 PM,eBird - Stationary Count,20,1,,,1
S78158876,Hooded Merganser,Lophodytes cucullatus,712,9,US-VA,Newport News,L6820665,Causey's Mill Park,37.0593866,-76.4834194,2020-12-28,01:20 PM,eBird - Traveling Count,32,1,.322,,1
S100363332,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L6820665,Causey's Mill Park,37.0593866,-76.4834194,2022-01-08,02:50 PM,eBird - Traveling Count,10,1,.161,,1
S33607797,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L1907573,Denbigh Park,37.1227969,-76.5662527,2017-01-11,12:15 PM,eBird - Traveling Count,40,1,.402,,1
S32776491,Hooded Merganser,Lophodytes cucullatus,712,8,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-11-13,10:30 AM,eBird - Casual Observation,0,0,,,1,,Regularly occurring during fall/winter small retention basin  in front of the school.,Driving/walking into building
S32778977,Hooded Merganser,Lophodytes cucullatus,712,16,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-11-29,07:45 AM,eBird - Casual Observation,0,0,,,1,,,Driving past pond
S32806591,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-01,10:34 AM,eBird - Stationary Count,10,1,,,1
S32835473,Hooded Merganser,Lophodytes cucullatus,712,16,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-03,12:25 PM,eBird - Traveling Count,70,1,1.609,,1
S32890131,Hooded Merganser,Lophodytes cucullatus,712,22,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-06,10:31 AM,eBird - Casual Observation,,0,,,1,,,Driving in to school
S32945398,Hooded Merganser,Lophodytes cucullatus,712,17,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-10,09:49 AM,eBird - Traveling Count,90,1,1.609,,1
S33095435,Hooded Merganser,Lophodytes cucullatus,712,32,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-19,10:11 AM,eBird - Stationary Count,25,1,,,1
S33128733,Hooded Merganser,Lophodytes cucullatus,712,23,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-21,10:10 AM,eBird - Traveling Count,20,1,.402,,1
S33251574,Hooded Merganser,Lophodytes cucullatus,712,18,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-28,12:30 PM,eBird - Traveling Count,105,1,1.609,,1
S33290326,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-30,10:30 AM,eBird - Traveling Count,70,1,1.609,,2
S33314258,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2016-12-31,02:30 PM,eBird - Traveling Count,45,1,.322,,1
S33430655,Hooded Merganser,Lophodytes cucullatus,712,11,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2017-01-04,10:40 AM,eBird - Stationary Count,10,1,,,1
S33781525,Hooded Merganser,Lophodytes cucullatus,712,9,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2017-01-19,10:32 AM,eBird - Stationary Count,12,1,,,1
S33986485,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2017-01-28,11:20 AM,eBird - Traveling Count,60,1,.805,,1
S42278567,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-01-27,12:49 PM,eBird - Traveling Count,70,1,.805,,1,,,,83584471
S42570478,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-02-07,07:50 AM,eBird - Stationary Count,5,1,,,1
S49487899,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-10-27,09:22 AM,eBird - Traveling Count,60,1,1.207,,1,,FOS,"Windy, drizzling, high 50s. The Hoodies are back for the season.",120748981
S49538167,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-10-29,10:37 AM,eBird - Casual Observation,,0,,,1
S49566849,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-10-30,04:45 PM,eBird - Traveling Count,50,1,.805,,1
S49594961,Hooded Merganser,Lophodytes cucullatus,712,6,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-10-31,04:44 PM,eBird - Traveling Count,18,1,.322,,1
S49605594,Hooded Merganser,Lophodytes cucullatus,712,6,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-01,04:24 PM,eBird - Traveling Count,30,1,.644,,1
S49754936,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-08,10:14 AM,eBird - Traveling Count,28,1,.322,,1
S49833217,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-10,02:15 PM,eBird - Traveling Count,90,1,.805,,1,,,,122863131 122863141
S49883111,Hooded Merganser,Lophodytes cucullatus,712,18,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-12,10:16 AM,eBird - Traveling Count,14,1,.161,,1
S49909761,Hooded Merganser,Lophodytes cucullatus,712,13,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-13,10:07 AM,eBird - Traveling Count,20,1,.161,,1
S49930087,Hooded Merganser,Lophodytes cucullatus,712,6,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-14,10:16 AM,eBird - Traveling Count,24,1,.322,,1
S49975829,Hooded Merganser,Lophodytes cucullatus,712,16,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-16,03:23 PM,eBird - Traveling Count,7,1,.161,,1
S49991407,Hooded Merganser,Lophodytes cucullatus,712,52,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-17,08:20 AM,eBird - Traveling Count,90,1,.805,,1,,Exact count,"45°, sunny, calm.",123878221 123878231
S50049003,Hooded Merganser,Lophodytes cucullatus,712,21,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-19,10:14 AM,eBird - Stationary Count,5,1,,,1
S50075545,Hooded Merganser,Lophodytes cucullatus,712,48,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-20,10:05 AM,eBird - Traveling Count,40,1,.322,,1
S50151506,Hooded Merganser,Lophodytes cucullatus,712,17,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-23,10:42 AM,eBird - Traveling Count,50,1,.483,,1
S50325133,Hooded Merganser,Lophodytes cucullatus,712,8,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-11-30,03:50 PM,eBird - Traveling Count,20,1,.322,,1
S50476902,Hooded Merganser,Lophodytes cucullatus,712,11,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-12-06,03:50 PM,eBird - Stationary Count,3,1,,,1
S50780655,Hooded Merganser,Lophodytes cucullatus,712,8,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2018-12-18,10:32 AM,eBird - Traveling Count,18,1,.322,,1
S52001605,Hooded Merganser,Lophodytes cucullatus,712,25,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2019-01-24,04:18 PM,eBird - Traveling Count,10,1,.08,,1
S52024026,Hooded Merganser,Lophodytes cucullatus,712,25,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2019-01-25,11:51 AM,eBird - Traveling Count,50,1,.483,,1
S81768358,Hooded Merganser,Lophodytes cucullatus,712,5,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2021-02-16,04:57 PM,eBird - Stationary Count,7,1,,,1
S100370641,Hooded Merganser,Lophodytes cucullatus,712,8,US-VA,Newport News,L3546717,Gildersleeve School Pond,37.0722372,-76.497778,2022-01-08,03:02 PM,eBird - Traveling Count,57,1,1.238,,1
S42814877,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2018-02-15,03:13 PM,eBird - Traveling Count,30,1,.805,,1
S52339028,Hooded Merganser,Lophodytes cucullatus,712,6,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2019-02-03,12:46 PM,eBird - Traveling Count,25,1,.241,,1
S79335083,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2021-01-16,10:01 AM,eBird - Traveling Count,100,1,3.065,,1,,,,298264031 298264051
S101267029,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2022-01-22,03:07 PM,eBird - Traveling Count,100,1,2.379,,2
S101415454,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2022-01-25,11:07 AM,eBird - Stationary Count,14,1,,,1
S101656023,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L5419658,Huntington Park,37.0190531,-76.4543456,2022-01-29,01:35 PM,eBird - Traveling Count,5,1,.161,,1
S41724060,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L5292802,King-Lincoln Park,36.9686017,-76.4106631,2018-01-07,03:43 PM,eBird - Traveling Count,60,1,1.609,,1
S41753428,Hooded Merganser,Lophodytes cucullatus,712,22,US-VA,Newport News,L5292802,King-Lincoln Park,36.9686017,-76.4106631,2018-01-08,02:56 PM,eBird - Traveling Count,120,1,1.127,,1
S41796546,Hooded Merganser,Lophodytes cucullatus,712,7,US-VA,Newport News,L5292802,King-Lincoln Park,36.9686017,-76.4106631,2018-01-10,12:52 PM,eBird - Traveling Count,60,1,.644,,1
S32909357,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2016-12-07,03:44 PM,eBird - Traveling Count,30,1,.805,,1,,,Worked both sides of River Rd at Lions Gate after work briefly
S33664006,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2017-01-14,10:15 AM,eBird - Traveling Count,15,1,.402,,1
S42049662,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2018-01-18,01:24 PM,eBird - Traveling Count,110,1,4.828,,1
S52145450,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2019-01-28,03:37 PM,eBird - Traveling Count,45,1,1.609,,1
S80663892,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2021-02-08,02:52 PM,eBird - Traveling Count,41,1,.644,,1,,,"Mostly in field across from HS, briefly on trail."
S33274049,Hooded Merganser,Lophodytes cucullatus,712,16,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2016-12-29,11:45 AM,eBird - Traveling Count,150,1,3.219,,1
S33352050,Hooded Merganser,Lophodytes cucullatus,712,8,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2017-01-01,02:00 PM,eBird - Traveling Count,75,1,3.219,,2
S41905567,Hooded Merganser,Lophodytes cucullatus,712,9,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2018-01-14,02:13 PM,eBird - Traveling Count,70,1,.483,,1
S42073597,Hooded Merganser,Lophodytes cucullatus,712,70,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2018-01-19,02:28 PM,eBird - Traveling Count,90,1,.805,,1
S42250482,Hooded Merganser,Lophodytes cucullatus,712,22,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2018-01-26,08:14 AM,eBird - Traveling Count,120,1,3.219,,1
S42839379,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L718631,Newport News Park,37.1802,-76.5476,2018-02-16,09:43 AM,eBird - Traveling Count,45,1,1.609,,1
S41794583,Hooded Merganser,Lophodytes cucullatus,712,15,US-VA,Newport News,L5719194,Peterson's Yacht Basin,36.983808,-76.3974774,2018-01-10,12:23 PM,eBird - Traveling Count,20,1,.161,,1
S32381530,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2016-11-05,07:45 AM,eBird - Traveling Count,150,1,1.609,,2
S32401733,Hooded Merganser,Lophodytes cucullatus,712,10,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2016-11-06,10:00 AM,eBird - Traveling Count,165,1,3.219,,1,,,,39144221
S33058992,Hooded Merganser,Lophodytes cucullatus,712,65,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2016-12-17,11:40 AM,eBird - Traveling Count,90,1,1.207,,1,,,Meandering loop around the pond
S33273914,Hooded Merganser,Lophodytes cucullatus,712,15,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2016-12-29,10:20 AM,eBird - Traveling Count,60,1,.805,,1
S33290207,Hooded Merganser,Lophodytes cucullatus,712,12,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2016-12-30,11:50 AM,eBird - Traveling Count,60,1,1.207,,2
S33601813,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2017-01-11,09:40 AM,eBird - Stationary Count,35,1,,,1
S33964099,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2017-01-27,11:29 AM,eBird - Stationary Count,25,1,,,1
S41848118,Hooded Merganser,Lophodytes cucullatus,712,36,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-01-12,03:56 PM,eBird - Stationary Count,15,1,,,1,,,"65°, light rain. I was fortunate that it broke enough to get some great scope views of the COME. "
S41987100,Hooded Merganser,Lophodytes cucullatus,712,11,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-01-17,08:56 AM,eBird - Traveling Count,70,1,.402,,1
S42185322,Hooded Merganser,Lophodytes cucullatus,712,9,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-01-23,02:44 PM,eBird - Traveling Count,90,1,.805,,1
S49720247,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-11-06,11:46 AM,eBird - Traveling Count,90,1,.483,,1
S49822090,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-11-10,07:56 AM,eBird - Traveling Count,90,1,.644,,1
S50338198,Hooded Merganser,Lophodytes cucullatus,712,10,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-12-01,09:20 AM,eBird - Stationary Count,10,1,,,1
S51589158,Hooded Merganser,Lophodytes cucullatus,712,10,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2019-01-12,10:12 AM,eBird - Traveling Count,90,1,.483,,1
S52032878,Hooded Merganser,Lophodytes cucullatus,712,10,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2019-01-25,03:33 PM,eBird - Traveling Count,40,1,.08,,1,,,,136989151
S52511455,Hooded Merganser,Lophodytes cucullatus,712,19,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2019-02-09,07:55 AM,eBird - Traveling Count,15,1,.161,,1
S78555567,Hooded Merganser,Lophodytes cucullatus,712,4,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2021-01-02,02:48 PM,eBird - Traveling Count,26,1,.322,,1
S79984256,Hooded Merganser,Lophodytes cucullatus,712,2,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2021-01-27,02:30 PM,eBird - Traveling Count,50,1,.483,,1
S99770658,Hooded Merganser,Lophodytes cucullatus,712,3,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2021-12-31,10:58 AM,eBird - Traveling Count,40,1,.402,,2
S55212346,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Northampton,L718426,Eastern Shore of Virginia NWR,37.1353322,-75.9615377,2019-04-21,10:15 AM,eBird - Traveling Count,75,1,3.219,,1
S138513661,Hooded Merganser,Lophodytes cucullatus,712,1,US-VA,Surry,L718515,Hog Island WMA,37.1809086,-76.6829395,2023-05-20,07:43 AM,eBird - Traveling Count,212,1,7.242,,1,,Female. Associating with RNDU.
S32713582,Common Merganser,Mergus merganser,720,2,US-MA,Berkshire,L468972,"Mount Williams Reservoir, North Adams",42.6862,-73.1524,2016-11-25,10:45 AM,eBird - Traveling Count,60,1,1.609,,1
S41848118,Common Merganser,Mergus merganser,720,1,US-VA,Newport News,L5042910,Stony Run Athletic Complex,37.1413538,-76.539613,2018-01-12,03:56 PM,eBird - Stationary Count,15,1,,,1,,"Shorter, stouter bill than that of RBME, also obvious white chin. Not associating with other waterfowl.","65°, light rain. I was fortunate that it broke enough to get some great scope views of the COME. ",81625991
S114604223,Common Merganser,Mergus merganser,720,12,US-NY,Warren,L7515140,13th Lake Rd. & Peaked Mtn. Trail,43.7187605,-74.1186404,2022-07-07,09:00 AM,eBird - Traveling Count,360,1,6.92,,2,,,Out and back to Peaked Mt. (8.6 mi total)
S41253526,Red-breasted Merganser,Mergus serrator,728,8,US-VA,Accomack,L159289,Chincoteague NWR--Swan Cove,37.8941,-75.3485,2017-12-22,03:08 PM,eBird - Traveling Count,26,1,.744,,1
S41254613,Red-breasted Merganser,Mergus serrator,728,20,US-VA,Accomack,L125059,Chincoteague NWR--Toms Cove,37.8774164,-75.3553805,2017-12-22,03:35 PM,eBird - Traveling Count,57,1,1.931,,1
S38263326,Red-breasted Merganser,Mergus serrator,728,1,US-VA,Hampton,L604728,Fort Monroe,37.0039407,-76.3073874,2017-07-22,10:26 AM,eBird - Traveling Count,120,1,.322,,1,,"Female observed from close range (20 ft.) I was in the water between the rock groins and it swam by at a quick pace. Long, slightly upturned orange bill, shaggy crest. Lacking white chin of female COME."
