Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S33132075,Ross's Goose,Anser rossii,260,1,US-VA,Virginia Beach,L2071147,Sherwood Lakes,36.7436987,-76.0185242,2016-12-21,01:30 PM,eBird - Traveling Count,15,1,.402,,1,,"Staying close to the snow goose. Significantly smaller, short stubby bill",,43135021
S98880887,Graylag Goose (Domestic type),Anser anser (Domestic type),266,8,AR-C,,L1295521,Parque 3 de Febrero (Bosques de Palermo),-34.5720266,-58.416431,2021-12-14,11:57 AM,eBird - Traveling Count,31,0,.744,,1
S33132075,Greater White-fronted Goose,Anser albifrons,271,9,US-VA,Virginia Beach,L2071147,Sherwood Lakes,36.7436987,-76.0185242,2016-12-21,01:30 PM,eBird - Traveling Count,15,1,.402,,1,,Continuing. No time to count more carefully. At least 9,,43134901 43134911
S134697247,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),294,2,US-VA,Newport News,L9347571,Lions Bridge,37.0414774,-76.4873928,2023-04-23,07:32 AM,eBird - Traveling Count,18,1,.241,,1
S43756706,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),294,2,US-VA,Newport News,L523043,Mariners' Museum Park/The Noland Trail,37.0514439,-76.478802,2018-03-18,03:15 PM,eBird - Traveling Count,45,1,.402,,1
S33078181,Brant,Branta bernicla,296,38,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2016-12-18,08:30 AM,eBird - Traveling Count,180,1,6.437,,1
S41772498,Brant,Branta bernicla,296,2,US-VA,Hampton,L718480,Grandview Nature Preserve,37.0869534,-76.2774324,2018-01-09,08:33 AM,eBird - Traveling Count,270,1,6.437,,1,,,,81289621
S41794094,Brant,Branta bernicla,296,4,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-01-10,11:22 AM,eBird - Traveling Count,60,1,.161,,1,,"Four smallish geese, all black head and neck with white necklace. Short black bill, pale belly. Hanging out on the jetty, then flew off toward King-Lincoln park. "
S43383780,Brant,Branta bernicla,296,18,US-VA,Poquoson,L2153527,Messick Point,37.110145,-76.3212061,2018-03-04,04:39 PM,eBird - Traveling Count,75,1,.402,,1,,,,88433491 88433511
S59079299,Canada Goose,Branta canadensis,324,10,US-VA,Albemarle,L618810,Mint Springs Valley Park,38.0826895,-78.7308598,2019-08-18,11:40 AM,eBird - Traveling Count,65,1,3.541,,1
S107299751,Canada Goose,Branta canadensis,324,2,US-VA,Albemarle,L422642,Ragged Mountain Natural Area,38.0266024,-78.5559154,2022-04-17,10:26 AM,eBird - Casual Observation,,0,,,1
