Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
258,17183,spuh,new world flycatcher sp.,Tyrannidae sp.,1,Newport News Park,US-VA,28 Jun 2017,L718631,S37849533,,0
264,6693,slash,Forster's/Common Tern,Sterna forsteri/hirundo,12,Grandview Nature Preserve,US-VA,27 May 2017,L718480,S37187225,,0
275,7636,spuh,new world vulture sp.,Cathartidae sp.,2,Everglades NP--Shark Valley: Tram Rd. & Observation Tower,US-FL,03 Apr 2017,L1050601,S35671638,,0
277,6737,spuh,large tern sp.,Hydroprogne/Thalasseus sp.,2,Chokoloskee--Smallwood Store,US-FL,02 Apr 2017,L638667,S35657745,,0
281,7544,spuh,white egret sp.,Egretta/Bubulcus/Ardea sp.,1,"Weekiwachee Preserve, east of Shoal Line Boulevard",US-FL,19 Mar 2017,L499776,S35299884,,0
285,33417,spuh,blackbird sp.,Icteridae sp.,3,Stony Run Athletic Complex,US-VA,27 Jan 2017,L5042910,S33964099,,0
294,21231,spuh,crow sp.,Corvus sp. (crow sp.),1,Mariners' Museum Park/The Noland Trail,US-VA,14 Jan 2017,L523043,S33664006,,0
304,6564,spuh,gull sp.,Larinae sp.,1,Gildersleeve School Pond,US-VA,10 Dec 2016,L3546717,S32945398,,0
316,11904,spuh,falcon sp.,Falco sp.,1,Stony Run Athletic Complex,US-VA,08 Nov 2016,L5042910,S32432874,,0
317,32995,spuh,new world sparrow sp.,Passerellidae sp.,3,Stony Run Athletic Complex,US-VA,06 Nov 2016,L5042910,S32401733,,0
327,6196,spuh,peep sp.,Calidris sp. (peep sp.),3,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,0
338,27084,slash,Cabanis's/Isthmian Wren,Cantorchilus modestus/elutus,1,Finca Maritima (Playa El Rey) rice fields,CR-P,07 Aug 2016,L2364240,S32383559,,0
661,6119,slash,Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,1,I-20 Pond/Jenna Welch Nature Ctr. (FWTX 55),US-TX,09 Apr 2016,L981552,S32396853,,0
730,5182,spuh,hummingbird sp.,Trochilidae sp.,1,Famosa Slough,US-CA,19 Nov 2015,L246035,S26374902,,0
