Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
131,7914,species,Black-collared Hawk,Busarellus nigricollis,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
132,7631,species,Lesser Yellow-headed Vulture,Cathartes burrovianus,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
133,33476,species,Southern Yellowthroat,Geothlypis velata,2,"Calle Yacaré 101–199, San Martín AR-Corrientes (-28.5378,-57.1819)",AR-W,16 Jul 2019,L9651949,S58233752,,1
134,23542,species,Black-capped Donacobius,Donacobius atricapilla,2,"Calle Yacaré 101–199, San Martín AR-Corrientes (-28.5378,-57.1819)",AR-W,16 Jul 2019,L9651949,S58233752,,1
135,16339,species,Warbling Doradito,Pseudocolopteryx flaviventris,1,"Calle Yacaré 101–199, San Martín AR-Corrientes (-28.5378,-57.1819)",AR-W,16 Jul 2019,L9651949,S58233752,,1
136,15078,species,Greater Thornbird,Phacellodomus ruber,1,"Calle Yacaré 101–199, San Martín AR-Corrientes (-28.5378,-57.1819)",AR-W,16 Jul 2019,L9651949,S58233752,,1
137,34960,species,White-bellied Seedeater,Sporophila leucoptera,2,"AR-Corrientes-San Martín (-28.5413,-57.2037)",AR-W,16 Jul 2019,L9651088,S58229632,,1
138,16848,species,White-headed Marsh Tyrant,Arundinicola leucocephala,2,"AR-Corrientes-San Martín (-28.5413,-57.2037)",AR-W,16 Jul 2019,L9651088,S58229632,,1
139,6079,species,Pantanal Snipe,Gallinago paraguaiae,1,"AR-Corrientes-San Martín (-28.5413,-57.2037)",AR-W,16 Jul 2019,L9651088,S58229632,,1
140,5609,species,Rufous-sided Crake,Laterallus melanophaius,1,"AR-Corrientes-San Martín (-28.5413,-57.2037)",AR-W,16 Jul 2019,L9651088,S58229632,,1
141,423,species,Muscovy Duck,Cairina moschata,2,"AR-Corrientes-San Martín (-28.5413,-57.2037)",AR-W,16 Jul 2019,L9651088,S58229632,,1
142,10,species,Greater Rhea,Rhea americana,9,"Ruta Provincial 41, Ituzaingó AR-Corrientes (-27.7453,-56.4760)",AR-W,16 Jul 2019,L9662061,S58280459,,1
143,35031,species,Double-collared Seedeater,Sporophila caerulescens,2,Reserva Ecológica Costanera Sur,AR-C,10 Jul 2019,L472208,S58078272,,1
144,16770,species,Yellow-browed Tyrant,Satrapa icterophrys,1,Reserva Ecológica Costanera Sur,AR-C,10 Jul 2019,L472208,S58078272,,1
145,362,species,Black-necked Swan,Cygnus melancoryphus,14,Reserva Ecológica Costanera Sur,AR-C,10 Jul 2019,L472208,S58078272,,1
146,32815,species,Abert's Towhee,Melozone aberti,7,Sweetwater Wetlands,US-AZ,06 Apr 2019,L208918,S54623677,,1
147,32478,species,Brewer's Sparrow,Spizella breweri,1,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",US-AZ,05 Apr 2019,L129073,S54599106,,1
148,32381,species,Rufous-winged Sparrow,Peucaea carpalis,4,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",US-AZ,05 Apr 2019,L129073,S54599106,,1
150,16656,species,Gray Flycatcher,Empidonax wrightii,2,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",US-AZ,05 Apr 2019,L129073,S54599106,,1
151,8653,species,Western Screech-Owl,Megascops kennicottii,1,Mescal Rd. campsite,US-AZ,05 Apr 2019,L8999793,S54691925,,1
152,33453,species,Lucy's Warbler,Leiothlypis luciae,5,Rincons--Miller Creek trailhead area,US-AZ,04 Apr 2019,L4998654,S54690972,,1
153,4837,species,Broad-billed Hummingbird,Cynanthus latirostris,1,Rincons--Miller Creek trailhead area,US-AZ,04 Apr 2019,L4998654,S54690972,,1
154,33657,species,Black-throated Gray Warbler,Setophaga nigrescens,2,Chiricahua NM--Massai Point,US-AZ,04 Apr 2019,L5131983,S54692225,,1
155,11237,species,Arizona Woodpecker,Dryobates arizonae,1,Chiricahua NM--Massai Point,US-AZ,04 Apr 2019,L5131983,S54692225,,1
157,1065,species,Montezuma Quail,Cyrtonyx montezumae,2,Turkey Creek rd.,US-AZ,03 Apr 2019,L9009818,S54755247,,1
158,32619,species,Yellow-eyed Junco,Junco phaeonotus,15,Pole Bridge Canyon -> Raspberry Ridge -> Morse Canyon loop,US-AZ,03 Apr 2019,L9009811,S54644856,,1
159,30181,species,Olive Warbler,Peucedramus taeniatus,1,Pole Bridge Canyon -> Raspberry Ridge -> Morse Canyon loop,US-AZ,03 Apr 2019,L9009811,S54644856,,1
160,16679,species,Buff-breasted Flycatcher,Empidonax fulvifrons,1,Pole Bridge Canyon -> Raspberry Ridge -> Morse Canyon loop,US-AZ,03 Apr 2019,L9009811,S54644856,,1
161,8593,species,Flammulated Owl,Psiloscops flammeolus,2,Pinery Canyon campsite,US-AZ,03 Apr 2019,L8991810,S54648390,,1
162,690,species,White-winged Scoter,Melanitta deglandi,1,King-Lincoln Park,US-VA,25 Jan 2019,L5292802,S52019674,,1
164,27597,species,LeConte's Thrasher,Toxostoma lecontei,1,"Joshua Tree National Park, Joshua Tree US-CA (34.0810,-116.2424)",US-CA,27 Dec 2018,L8310558,S51000171,,1
165,20908,species,California Scrub-Jay,Aphelocoma californica,1,"51092 Cheyenne Trl, Morongo Valley US-CA (34.0882,-116.5506)",US-CA,26 Dec 2018,L8306623,S50980023,,1
166,6539,species,California Gull,Larus californicus,,"9526–9530 Avenue B, Niland US-CA (33.3489,-115.7328)",US-CA,26 Dec 2018,L8306628,S50980043,,1
167,33041,species,Western Meadowlark,Sturnella neglecta,2,Kershaw Rd. pond,US-CA,26 Dec 2018,L981546,S50972497,,1
168,1867,species,Clark's Grebe,Aechmophorus clarkii,1,Kershaw Rd. pond,US-CA,26 Dec 2018,L981546,S50972497,,1
169,11679,species,Gilded Flicker,Colaptes chrysoides,3,Desert Botanical Garden,US-AZ,24 Dec 2018,L210015,S50928143,,1
170,10957,species,Gila Woodpecker,Melanerpes uropygialis,3,Desert Botanical Garden,US-AZ,24 Dec 2018,L210015,S50928143,,1
171,4790,species,Costa's Hummingbird,Calypte costae,4,Desert Botanical Garden,US-AZ,24 Dec 2018,L210015,S50928143,,1
173,8339,species,Ferruginous Hawk,Buteo regalis,1,"N Fain Rd, Dewey US-AZ (34.5902,-112.2682)",US-AZ,23 Dec 2018,L8294522,S50910458,,1
174,1056,species,Gambel's Quail,Callipepla gambelii,4,"Coconino National Forest, Sedona US-AZ (34.8762,-111.7593)",US-AZ,22 Dec 2018,L8289129,S50875172,,1
175,21766,species,Juniper Titmouse,Baeolophus ridgwayi,4,Red Rock SP,US-AZ,22 Dec 2018,L266622,S50868065,,1
176,21756,species,Bridled Titmouse,Baeolophus wollweberi,14,Red Rock SP,US-AZ,22 Dec 2018,L266622,S50868065,,1
177,24829,species,Bushtit,Psaltriparus minimus,12,"Coconino National Forest, Sedona US-AZ (34.8759,-111.7592)",US-AZ,21 Dec 2018,L8284192,S50849603,,1
178,20879,species,Steller's Jay,Cyanocitta stelleri,2,Frances Short Pond,US-AZ,21 Dec 2018,L1833473,S50839296,,1
179,27672,species,Western Bluebird,Sialia mexicana,6,"(36.0589,-112.1084)",US-AZ,20 Dec 2018,L8281443,S50833559,,1
180,26471,species,Pygmy Nuthatch,Sitta pygmaea,2,"(36.0589,-112.1084)",US-AZ,20 Dec 2018,L8281443,S50833559,,1
181,21688,species,Mountain Chickadee,Poecile gambeli,1,"(36.0589,-112.1084)",US-AZ,20 Dec 2018,L8281443,S50833559,,1
182,20918,species,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,5,"(36.0589,-112.1084)",US-AZ,20 Dec 2018,L8281443,S50833559,,1
184,6772,species,Pacific Loon,Gavia pacifica,1,Sherwood Lakes,US-VA,07 Nov 2018,L2071147,S49743707,,1
186,31804,species,Purple Finch,Haemorhous purpureus,1,Hilton Village,US-VA,01 Nov 2018,L11078212,S49595138,,1
190,31977,species,Red Crossbill,Loxia curvirostra,18,Briery Branch Gap,US-VA,28 Sep 2018,L4225264,S48819517,,1
193,32688,species,Vesper Sparrow,Pooecetes gramineus,2,Hornsby Bend (HOTE 037),US-TX,07 Apr 2018,L130766,S44330769,,1
194,33674,species,Golden-cheeked Warbler,Setophaga chrysoparia,2,Pedernales Falls State Park (HOTE 050),US-TX,06 Apr 2018,L129053,S44303524,,1
196,8888,species,Elf Owl,Micrathene whitneyi,1,Big Bend NP--Rio Grande Village (FWTX 44),US-TX,03 Apr 2018,L128907,S44424566,,1
199,9068,species,Short-eared Owl,Asio flammeus,1,Messick Point,US-VA,04 Mar 2018,L2153527,S43383780,,1
200,6434,species,Black-headed Gull,Chroicocephalus ridibundus,1,Rudee Inlet,US-VA,10 Feb 2018,L285056,S42639612,,1
202,558,species,Northern Pintail,Anas acuta,8,Dutch Gap Conservation Area/Henricus Historical Park,US-VA,15 Jan 2018,L207180,S41930506,,1
206,661,species,Lesser Scaup,Aythya affinis,3,King-Lincoln Park,US-VA,08 Jan 2018,L5292802,S41753428,,1
207,655,species,Greater Scaup,Aythya marila,2,King-Lincoln Park,US-VA,08 Jan 2018,L5292802,S41753428,,1
208,485,species,Eurasian Wigeon,Mareca penelope,1,Chincoteague NWR--Swan Cove,US-VA,22 Dec 2017,L159289,S41253526,,1
209,35144,species,Greater Antillean Bullfinch,Melopyrrha violacea,2,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
210,30328,species,Village Weaver,Ploceus cucullatus,3,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,N,1
211,18933,species,Black-whiskered Vireo,Vireo altiloquus,3,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
212,17038,species,Stolid Flycatcher,Myiarchus stolidus,3,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
213,9558,species,Broad-billed Tody,Todus subulatus,4,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
214,3248,species,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,1,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
215,2337,species,Key West Quail-Dove,Geotrygon chrysia,1,Padre Nuestro Trail,DO-11,09 Aug 2017,L6168410,S38568540,,1
216,33003,species,Black-crowned Palm-Tanager,Phaenicophilus palmarum,1,Ocean Blue and Sand Resort,DO-11,07 Aug 2017,L6159275,S38532931,,1
217,30559,species,Scaly-breasted Munia,Lonchura punctulata,5,Ocean Blue and Sand Resort,DO-11,07 Aug 2017,L6159275,S38524121,N,1
218,29410,species,Palmchat,Dulus dominicus,8,Ocean Blue and Sand Resort,DO-11,07 Aug 2017,L6159275,S38524121,,1
219,10942,species,Hispaniolan Woodpecker,Melanerpes striatus,3,Ocean Blue and Sand Resort,DO-11,07 Aug 2017,L6159275,S38524121,,1
221,33355,species,Greater Antillean Grackle,Quiscalus niger,1,Ocean Blue and Sand Resort,DO-11,06 Aug 2017,L6159275,S38516166,,1
222,4164,species,Antillean Palm Swift,Tachornis phoenicobia,10,Ocean Blue and Sand Resort,DO-11,06 Aug 2017,L6159275,S38516166,,1
223,551,species,White-cheeked Pintail,Anas bahamensis,1,Ocean Blue and Sand Resort,DO-11,06 Aug 2017,L6159275,S38516166,,1
224,6180,species,Baird's Sandpiper,Calidris bairdii,3,Hornsby Bend (HOTE 037),US-TX,04 Aug 2017,L130766,S38473887,,1
225,6147,species,Stilt Sandpiper,Calidris himantopus,3,Hornsby Bend (HOTE 037),US-TX,04 Aug 2017,L130766,S38473887,,1
227,33210,species,Bullock's Oriole,Icterus bullockii,3,Chaparral WMA (La Salle Co. portion),US-TX,03 Aug 2017,L2577377,S38461672,,1
228,33233,species,Audubon's Oriole,Icterus graduacauda,2,San Ygnacio Bird Sanctuary & riverfront (LTC 087),US-TX,03 Aug 2017,L129083,S38457345,,1
229,33987,species,Pyrrhuloxia,Cardinalis sinuatus,3,Falcon State Park—SE portion (Starr Co.)  (LTC 084),US-TX,02 Aug 2017,L128962,S38450984,,1
230,3500,species,Lesser Nighthawk,Chordeiles acutipennis,1,Falcon State Park—SE portion (Starr Co.)  (LTC 084),US-TX,02 Aug 2017,L128962,S38450984,,1
231,33226,species,Altamira Oriole,Icterus gularis,2,Santa Ana NWR (LTC 059),US-TX,02 Aug 2017,L129085,S38445792,,1
232,7657,species,White-tailed Kite,Elanus leucurus,1,"8000–8618 E Military Hwy, Donna US-TX (26.0749,-98.0471)",US-TX,02 Aug 2017,L6145705,S38441595,,1
233,7406,species,Reddish Egret,Egretta rufescens,1,South Padre Is.--Birding and Nature Center,US-TX,01 Aug 2017,L770565,S38435303,,1
236,32087,species,Lesser Goldfinch,Spinus psaltria,1,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
237,27580,species,Long-billed Thrasher,Toxostoma longirostre,4,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
238,20837,species,Green Jay,Cyanocorax yncas,10,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
240,17144,species,Couch's Kingbird,Tyrannus couchii,7,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
241,5073,species,Buff-bellied Hummingbird,Amazilia yucatanensis,1,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
242,811,species,Plain Chachalaca,Ortalis vetula,11,Sabal Palm Sanctuary (LTC 042),US-TX,01 Aug 2017,L129070,S38428764,,1
243,3508,species,Common Nighthawk,Chordeiles minor,4,"17001–18299 Expressway 77 N, Raymondville US-TX (26.5558,-97.7725)",US-TX,31 Jul 2017,L6149708,S38463934,,1
244,33156,species,Hooded Oriole,Icterus cucullatus,2,Sacahuistale Flats (LTC 013),US-TX,31 Jul 2017,L504328,S38419299,,1
245,32436,species,Olive Sparrow,Arremonops rufivirgatus,1,Sacahuistale Flats (LTC 013),US-TX,31 Jul 2017,L504328,S38419299,,1
246,32394,species,Botteri's Sparrow,Peucaea botterii,2,Sacahuistale Flats (LTC 013),US-TX,31 Jul 2017,L504328,S38419299,,1
247,6664,species,Black Tern,Chlidonias niger,3,Riviera School pond,US-TX,31 Jul 2017,L1317883,S38417239,,1
248,628,species,Redhead,Aythya americana,2,Hornsby Bend (HOTE 037),US-TX,31 Jul 2017,L130766,S38419321,,1
249,17152,species,Western Kingbird,Tyrannus verticalis,6,"701 Center Ridge Dr, Austin US-TX (30.4135,-97.6687)",US-TX,28 Jul 2017,L6131396,S38364120,,1
250,17172,species,Scissor-tailed Flycatcher,Tyrannus forficatus,1,"6547–6961 N US Highway 183, Lockhart US-TX (29.9793,-97.6812)",US-TX,28 Jul 2017,L6130440,S38358837,,1
251,31790,species,House Finch,Haemorhous mexicanus,1,Roy G. Guerrero Colorado River Metro Park,US-TX,28 Jul 2017,L567534,S38357985,,1
253,5978,species,Whimbrel,Numenius phaeopus,2,Magothy Bay Natural Area Preserve,US-VA,17 Jul 2017,L1007732,S38187575,,1
254,23636,species,Bank Swallow,Riparia riparia,2,"Post Farm Marsh, Lenox",US-MA,05 Jul 2017,L740657,S37981604,,1
256,16643,species,Willow Flycatcher,Empidonax traillii,1,Berkshire Community College--Fields,US-MA,03 Jul 2017,L5105541,S37941348,,1
259,979,species,Northern Bobwhite,Colinus virginianus,1,"13097–13411 Burwells Bay Rd, Smithfield US-VA (37.0536,-76.6909)",US-VA,27 Jun 2017,L6025291,S37830488,,1
260,33484,species,Kentucky Warbler,Geothlypis formosa,4,"8501 Wrenns Mill Rd, Smithfield US-VA (37.0230,-76.6717)",US-VA,27 Jun 2017,L6025053,S37829109,,1
261,7926,species,Mississippi Kite,Ictinia mississippiensis,1,Curtiss Drive (Mississippi Kite Spot),US-VA,26 Jun 2017,L3625080,S37808828,,1
262,23861,species,Cliff Swallow,Petrochelidon pyrrhonota,4,Brown's Island,US-VA,24 Jun 2017,L619779,S37774912,,1
263,17176,species,Fork-tailed Flycatcher,Tyrannus savana,1,**Back Bay NWR,US-VA,20 Jun 2017,L718307,S37701025,,1
265,32413,species,Grasshopper Sparrow,Ammodramus savannarum,2,Stony Run Athletic Complex,US-VA,26 May 2017,L5042910,S37151223,,1
266,33532,species,Cerulean Warbler,Setophaga cerulea,9,Warbler Road--FR 812 (Parkers Gap to Sunset Field),US-VA,21 May 2017,L2118736,S37043603,,1
267,8293,species,Broad-winged Hawk,Buteo platypterus,1,Warbler Road--FR 812 (Parkers Gap to Sunset Field),US-VA,21 May 2017,L2118736,S37043603,,1
268,33437,species,Swainson's Warbler,Limnothlypis swainsonii,2,Great Dismal Swamp NWR--Railroad Ditch,US-VA,16 Apr 2017,L693507,S36010291,,1
269,6526,species,Lesser Black-backed Gull,Larus fuscus,1,Biscayne NP,US-FL,07 Apr 2017,L127431,S35760816,,1
270,1976,species,White-crowned Pigeon,Patagioenas leucocephala,1,Everglades NP--Mahogany Hammock,US-FL,06 Apr 2017,L123123,S35741731,,1
271,6192,species,Western Sandpiper,Calidris mauri,2,Bahia Honda SP,US-FL,04 Apr 2017,L127445,S35702816,,1
272,5894,species,Wilson's Plover,Anarhynchus wilsonia,1,Bahia Honda SP,US-FL,04 Apr 2017,L127445,S35702816,,1
273,5807,species,Piping Plover,Charadrius melodus,5,Bahia Honda SP,US-FL,04 Apr 2017,L127445,S35702816,,1
274,7288,species,American White Pelican,Pelecanus erythrorhynchos,18,Everglades NP--Guy Bradley Trail,US-FL,04 Apr 2017,L1886778,S35686783,,1
276,7614,species,Roseate Spoonbill,Platalea ajaja,1,Everglades NP--Shark Valley: Tram Rd. & Observation Tower,US-FL,03 Apr 2017,L1050601,S35671638,,1
278,34074,species,Painted Bunting,Passerina ciris,2,Richardson Historic Park and Nature Preserve,US-FL,01 Apr 2017,L1161428,S35619467,,1
279,33531,species,Cape May Warbler,Setophaga tigrina,2,Loxahatchee NWR--Cypress Swamp Boardwalk,US-FL,01 Apr 2017,L1101205,S35606587,,1
280,5507,species,Gray-headed Swamphen,Porphyrio poliocephalus,1,Wakodahatchee Wetlands,US-FL,01 Apr 2017,L143084,S35604114,N,1
282,541,species,Mottled Duck,Anas fulvigula,3,"Weekiwachee Preserve, east of Shoal Line Boulevard",US-FL,19 Mar 2017,L499776,S35299884,,1
283,6372,species,Razorbill,Alca torda,10,**Back Bay NWR,US-VA,29 Jan 2017,L718307,S34021967,,1
284,627,species,Canvasback,Aythya valisineria,8,**Back Bay NWR,US-VA,29 Jan 2017,L718307,S34021967,,1
286,33322,species,Rusty Blackbird,Euphagus carolinus,1,Gildersleeve School Pond,US-VA,26 Jan 2017,L3546717,S33944594,,1
287,33332,species,Boat-tailed Grackle,Quiscalus major,5,**CHINCOTEAGUE NWR,US-VA,16 Jan 2017,L718378,S33739824,,1
288,8704,species,Snowy Owl,Bubo scandiacus,1,**CHINCOTEAGUE NWR,US-VA,16 Jan 2017,L718378,S33739824,,1
289,700,species,Long-tailed Duck,Clangula hyemalis,2,**CHINCOTEAGUE NWR,US-VA,16 Jan 2017,L718378,S33739824,,1
290,688,species,Surf Scoter,Melanitta perspicillata,27,**CHINCOTEAGUE NWR,US-VA,16 Jan 2017,L718378,S33739824,,1
291,6031,species,American Woodcock,Scolopax minor,1,Eastern Shore of Virginia NWR,US-VA,15 Jan 2017,L718426,S33703439,,1
292,6171,species,Purple Sandpiper,Calidris maritima,2,CBBT--South Thimble Island (#1),US-VA,15 Jan 2017,L132236,S33703216,,1
293,1842,species,Horned Grebe,Podiceps auritus,2,CBBT--South Thimble Island (#1),US-VA,15 Jan 2017,L132236,S33703216,,1
295,11825,species,Merlin,Falco columbarius,1,Stony Run Athletic Complex,US-VA,11 Jan 2017,L5042910,S33601813,,1
296,702,species,Common Goldeneye,Bucephala clangula,1,Brunelle Marina,US-MA,28 Dec 2016,L1877563,S37158881,,1
297,32146,species,Snow Bunting,Plectrophenax nivalis,15,Pittsfield Airport,US-MA,23 Dec 2016,L802434,S33161283,,1
298,22182,species,Horned Lark,Eremophila alpestris,20,Pittsfield Airport,US-MA,23 Dec 2016,L802434,S33161283,,1
299,6422,species,Bonaparte's Gull,Chroicocephalus philadelphia,1,Sherwood Lakes,US-VA,21 Dec 2016,L2071147,S33132075,,1
300,271,species,Greater White-fronted Goose,Anser albifrons,9,Sherwood Lakes,US-VA,21 Dec 2016,L2071147,S33132075,,1
301,260,species,Ross's Goose,Anser rossii,1,Sherwood Lakes,US-VA,21 Dec 2016,L2071147,S33132075,,1
302,256,species,Snow Goose,Anser caerulescens,1,Sherwood Lakes,US-VA,21 Dec 2016,L2071147,S33132075,,1
303,296,species,Brant,Branta bernicla,38,Grandview Nature Preserve,US-VA,18 Dec 2016,L718480,S33078181,,1
305,574,species,Green-winged Teal,Anas crecca,16,Sandy Bottom Nature Park,US-VA,04 Dec 2016,L718718,S32851189,,1
306,32567,species,American Tree Sparrow,Spizelloides arborea,1,Richmond Pond,US-MA,26 Nov 2016,L802428,S32725101,,1
307,537,species,American Black Duck,Anas rubripes,10,Richmond Pond,US-MA,26 Nov 2016,L802428,S32725101,,1
308,31361,species,American Pipit,Anthus rubescens,3,"Mount Williams Reservoir, North Adams",US-MA,25 Nov 2016,L468972,S32713582,,1
309,720,species,Common Merganser,Mergus merganser,2,"Mount Williams Reservoir, North Adams",US-MA,25 Nov 2016,L468972,S32713582,,1
310,6516,species,Great Black-backed Gull,Larus marinus,12,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
311,6156,species,Dunlin,Calidris alpina,95,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
312,5247,species,Clapper Rail,Rallus crepitans,3,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
313,728,species,Red-breasted Merganser,Mergus serrator,2,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
314,696,species,Black Scoter,Melanitta americana,2,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
315,676,species,Common Eider,Somateria mollissima,1,Grandview Nature Preserve,US-VA,19 Nov 2016,L718480,S32620520,,1
318,358,species,Mute Swan,Cygnus olor,1,Newport News Park,US-VA,05 Nov 2016,L718631,S32382615,N,1
319,7950,species,Northern Harrier,Circus hudsonius,1,Stony Run Athletic Complex,US-VA,05 Nov 2016,L5042910,S32381530,,1
320,712,species,Hooded Merganser,Lophodytes cucullatus,3,Stony Run Athletic Complex,US-VA,05 Nov 2016,L5042910,S32381530,,1
321,33430,species,Blue-winged Warbler,Vermivora cyanoptera,1,Sandy Bottom Nature Park,US-VA,09 Sep 2016,L718718,S32734975,,1
322,6187,species,Least Sandpiper,Calidris minutilla,3,Sandy Bottom Nature Park,US-VA,09 Sep 2016,L718718,S32734975,,1
323,6094,species,Solitary Sandpiper,Tringa solitaria,1,Sandy Bottom Nature Park,US-VA,09 Sep 2016,L718718,S32734975,,1
324,1222,species,Wild Turkey,Meleagris gallopavo,20,Piney Grove Preserve,US-VA,23 Aug 2016,L555556,S32888541,,1
325,8284,species,Red-shouldered Hawk,Buteo lineatus,1,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,1
326,6670,species,Forster's Tern,Sterna forsteri,5,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,1
328,6188,species,Pectoral Sandpiper,Calidris melanotos,4,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,1
329,6024,species,Short-billed Dowitcher,Limnodromus griseus,8,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,1
330,6018,species,Marbled Godwit,Limosa fedoa,2,Hog Island WMA,US-VA,22 Aug 2016,L718515,S31215816,,1
331,33550,species,Magnolia Warbler,Setophaga magnolia,1,October Mountain SF--Washington Mtn. Marsh,US-MA,17 Aug 2016,L3807548,S32717321,,1
332,33454,species,Nashville Warbler,Leiothlypis ruficapilla,2,October Mountain SF--Washington Mtn. Marsh,US-MA,17 Aug 2016,L3807548,S32717321,,1
333,7335,species,American Bittern,Botaurus lentiginosus,1,October Mountain SF--Washington Mtn. Marsh,US-MA,17 Aug 2016,L3807548,S32717321,,1
334,33798,species,Canada Warbler,Cardellina canadensis,1,"Post Farm Marsh, Lenox",US-MA,16 Aug 2016,L740657,S31118250,,1
335,27846,species,Veery,Catharus fuscescens,1,"Post Farm Marsh, Lenox",US-MA,16 Aug 2016,L740657,S31118250,,1
336,18890,species,Warbling Vireo,Vireo gilvus,1,"Post Farm Marsh, Lenox",US-MA,16 Aug 2016,L740657,S31118250,,1
337,33300,species,Bronzed Cowbird,Molothrus aeneus,30,Finca Maritima (Playa El Rey) rice fields,CR-P,07 Aug 2016,L2364240,S32383559,,1
339,18737,species,Scrub Greenlet,Hylophilus flavipes,1,Finca Maritima (Playa El Rey) rice fields,CR-P,07 Aug 2016,L2364240,S32383559,,1
340,10029,species,American Pygmy Kingfisher,Chloroceryle aenea,1,Finca Maritima (Playa El Rey) rice fields,CR-P,07 Aug 2016,L2364240,S32383559,,1
341,35223,species,Buff-throated Saltator,Saltator maximus,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
342,34611,species,Shining Honeycreeper,Cyanerpes lucidus,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
343,34598,species,Blue Dacnis,Dacnis cayana,2,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
344,34533,species,Bay-headed Tanager,Tangara gyrola,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
345,34402,species,Palm Tanager,Thraupis palmarum,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
346,34033,species,Blue-black Grosbeak,Cyanoloxia cyanoides,2,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
347,32452,species,Black-striped Sparrow,Arremonops conirostris,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
348,26663,species,White-browed Gnatcatcher,Polioptila bilineata,3,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
349,16973,species,Dusky-capped Flycatcher,Myiarchus tuberculifer,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
350,16343,species,Yellow-crowned Tyrannulet,Tyrannulus elatus,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
351,16324,species,Yellow Tyrannulet,Capsiempis flaveola,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
352,15631,species,Rufous Piha,Lipaugus unirufus,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
353,15537,species,Red-capped Manakin,Ceratopipra mentalis,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
354,15468,species,Orange-collared Manakin,Manacus aurantiacus,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
355,11731,species,Yellow-headed Caracara,Daptrius chimachima,1,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
356,10676,species,Fiery-billed Aracari,Pteroglossus frantzii,6,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
357,7699,species,Swallow-tailed Kite,Elanoides forficatus,2,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
358,5164,species,Blue-throated Goldentail,Chlorestes eliciae,2,Esquipulas (town),CR-SJ,07 Aug 2016,L1855002,S32383131,,1
